country,question_id,dimension,question,query_no,query,search_language
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja,Estonian
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",2,avaliku sektori teabe taaskasutuse määratlus Eesti õigusaktid,Estonian
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",3,open data reuse Eesti ametlik määratlus avaliku teabe seadus,Estonian
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",4,avaliku teabe taaskasutus poliitika ja mõju Eesti ministeerium,Estonian
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",5,Public Sector Information reuse definition Estonia official documents,Estonian
Estonia,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",1,Eesti avaliku sektori avaandmete taaskasutuse näited ja kogumine,Estonian
Estonia,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",2,Eesti riigi avaandmete taaskasutuse juhtumite süsteemne kogumine,Estonian
Estonia,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",3,Estonia public sector information reuse case studies report,Estonian
Estonia,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",4,Eesti avaandmete taaskasutuse strateegia ja mõjurekordi raport,Estonian
Estonia,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",5,Eesti ministeeriumite ja ametite avaliku teabe taaskasutuse näidised,Estonian
Estonia,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",1,Eesti avaandmete mõju valitsuse efektiivsusele raport,Estonian
Estonia,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",2,avaandmete taaskasutuse mõju avaliku sektori otsustele Eesti,Estonian
