country,question_id,dimension,question,query_no,query,search_language,rank,title,url,snippet,published_date,provider
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja,Estonian,1,Usaldusteenus | Eesti usaldusnimekiri,https://sr.riik.ee/et/usaldusteenus/,"Usaldusnimekirjad on olulised komponendid, mis aitavad luua usaldust e-turul tegutsejate seas, võimaldades kasutajatel kindlaks teha, milline on usaldusteenuse osutajate ja nende teenuste kvalifitseeritud staatus praegu ja milline on see olnud varem. Liikmesriikide usaldusnimekirjad peavad sisaldama vähemalt komisjoni rakendusotsuse (EL) 2015/1505 artiklites 1 ja 2 osutatud teavet. Liikmesriigid võivad lisada usaldusnimekirja teavet kvalifitseerimata usaldusteenuse osutajate ja nende osutatavate kvalifitseerimata usaldusteenuste kohta. Sellisel juhul tuleb selgelt märkida, et need ei ole kvalifitseeritud vastavalt määrusele (EL) nr 910/2014 (muudetud määrusega (EL) 2024/1183 – edaspidi kokkuvõtvalt „eIDAS määrus“). Liikmesriigid võivad lisada usaldusnimekirja teavet muud liiki riigisiseselt kindlaksmääratud usaldusteenuste kohta kui need, mis on määratletud määruse eIDAS määruse artikli 3 lõike 16 alusel. Sellisel juhul tuleb selgelt märkida, et need ei ole kvalifitseeritud vastavalt eIDAS määrusele.
...
Käesolev nimekiri on usaldusnimekiri, mis sisaldab teavet Eesti järelevalve all olevate usaldusteenuse osutajate kohta ja usaldusteenuste kohta, mida nad osutavad, kooskõlas eIDAS määruse asjaomaste sätetega.
...
Usaldusteenuse osutajad ja usaldusteenused kantakse Eesti usaldusnimekirja vastavalt järgnevale regulatsioonile:
...
- Euroopa Parlamendi ja nõukogu määrus (EL) nr 910/2014(muudetud määrusega (EL) 2024/1183 – edaspidi kokkuvõtvalt „eIDAS“ määrus)
- E-identimise ja e-tehingute usaldusteenuste seadus(edaspidi EUTS)
...
Tulenevalt EUTS § 2 täidab eIDAS-s sätestatud järelevalveasutuse ülesandeid Riigi Infosüsteemi Amet.
...
Eesti usaldusnimekirja kandmiseks esitab usaldusteenuse osutaja Riigi Infosüsteemi Ametile iga usaldusteenuse kohta taotluse vormi ja vastavushindamisasutuse koostatud vastavushindamisaruande.
...
Loa väljastamise korral kannab Riigi Infosüsteemi Amet usaldusteenuse osutaja ja usaldusteenuse usaldusnimekirja
...
Nõuetele vastav kvalifitseeritud või kvalifitseerimata usaldusteenuse osutaja / usaldusteenus kantakse usaldusnimekirja kaheks aastaks.",,exa
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja,Estonian,2,EESTI: ANDMETEENUSED RIIGIKONTROLLI RMKA ANDMESTIKU LIIDESTAMINE RIIGIHANGETE REGISTRI X-TEE ANDMETEENUSEGA,https://riigihanked.riik.ee/rhr/api/public/v1/notice/4311218/html,"Ostja õiguslik vorm: Avalik-õiguslik isik
...
Hankija tegevus: Üldised avalikud teenused
...
Riigikontroll
...
Kirjeldus: Hanke eesmärgiks on riigihangete registri andmevoo automatiseerimine riigi raamatupidamise aastaaruande õigsuse ja tehingute seaduslikkuse auditi (RMKA) andmestikus. Teenuse kirjeldus: 1. andmete transformatsioonide teostamine RMKA andmestiku ETL/DWH keskkondades ning sidumine analüütilise töölauaga „ARUANNE: RP009, RP004, FITEK ja HANKED“ Tableau serveris; 2. andmete transformatsioonide teostamine RMKA andmestiku ETL/DWH kes
...
ondades ning sidumine riigihangete analüüsi prototüübiga, analüütiliste vaadete kuvamine Tableau serveris; 3. Tableau serveris automaatselt uueneva riigihangete registri toorandmete andmeallika (datasource) loomine; 4. ajalooliste hangete lisamine andmeallikale ja töölaudadele.
...
ontrolli RM
...
andmestiku
...
Kirjeldus: Hanke eesmärgiks on riigihangete registri andmevoo automatiseerimine riigi raamatupidamise aastaaruande õigsuse ja tehingute seaduslikkuse auditi (RMKA) andmestikus. Teenuse kirjeldus: 1. andmete transformatsioonide teostamine RMKA andmestiku ETL/DWH keskkondades ning sidumine analüütilise töölauaga „ARUANNE: RP009, RP004, FITEK ja HANKED“ Tableau serveris; 2. andmete transformatsioonide teostamine RMKA andmestiku ETL/DWH keskkondades ning sidumine riigihangete analüüsi prototüübiga, analüütiliste vaadete kuvamine Tableau serveris; 3. Tableau serveris automaatselt uueneva riigihangete registri toorandmete andmeallika (datasource) loomine; 4. ajalooliste hangete lisamine andmeallikale ja töölaudadele.",,exa
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja,Estonian,3,Usaldusteenus | Eesti usaldusnimekiri,https://sr.riik.ee/et.html,"Usaldusnimekirjad on olulised komponendid, mis aitavad luua usaldust e-turul tegutsejate seas, võimaldades kasutajatel kindlaks teha, milline on usaldusteenuse osutajate ja nende teenuste kvalifitseeritud staatus praegu ja milline on see olnud varem. Liikmesriikide usaldusnimekirjad peavad sisaldama vähemalt komisjoni rakendusotsuse (EL) 2015/1505 artiklites 1 ja 2 osutatud teavet. Liikmesriigid võivad lisada usaldusnimekirja teavet kvalifitseerimata usaldusteenuse osutajate ja nende osutatavate kvalifitseerimata usaldusteenuste kohta. Sellisel juhul tuleb selgelt märkida, et need ei ole kvalifitseeritud vastavalt määrusele (EL) nr 910/2014 (muudetud määrusega (EL) 2024/1183 – edaspidi kokkuvõtvalt „eIDAS määrus“). Liikmesriigid võivad lisada usaldusnimekirja teavet muud liiki riigisiseselt kindlaksmääratud usaldusteenuste kohta kui need, mis on määratletud määruse eIDAS määruse artikli 3 lõike 16 alusel. Sellisel juhul tuleb selgelt märkida, et need ei ole kvalifitseeritud vastavalt eIDAS määrusele.
...
Käesolev nimekiri on usaldusnimekiri, mis sisaldab teavet Eesti järelevalve all olevate usaldusteenuse osutajate kohta ja usaldusteenuste kohta, mida nad osutavad, kooskõlas eIDAS määruse asjaomaste sätetega.
...
Usaldusteenuse osutajad ja usaldusteenused kantakse Eesti usaldusnimekirja vastavalt järgnevale regulatsioonile:
...
- E-identimise ja e-tehingute usaldusteenuste seadus(edaspidi EUTS)
- Euroopa Parlamendi ja nõukogu määrus (EL) nr 910/2014(muudetud määrusega (EL) 2024/1183 – edaspidi kokkuvõtvalt „eIDAS“ määrus)
...
Tulenevalt EUTS § 2 täidab eIDAS-s sätestatud järelevalveasutuse ülesandeid Riigi Infosüsteemi Amet.
...
Eesti usaldusnimekirja kandmiseks esitab usaldusteenuse osutaja Riigi Infosüsteemi Ametile iga usaldusteenuse kohta taotluse vormi ja vastavushindamisasutuse koostatud vastavushindamisaruande.
...
Nõuetele vastav kvalifitseeritud või kvalifitseerimata usaldusteenuse osutaja / usaldusteenus kantakse usaldusnimekirja kaheks aastaks.",,exa
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja,Estonian,4,"EESTI: TURU- JA MAJANDUSUURINGUD, AVALIKU ARVAMUSE UURINGUD JA STATISTIKA STATISTILINE ANDMEBAAS (STATISTICAL INFORMATION SERVICE) 2",https://riigihanked.riik.ee/rhr/api/public/v1/notice/4207626/html,"# EESTI: TURU- JA MAJANDUSUURINGUD, AVALIKU ARVAMUSE UURINGUD JA STATISTIKASTATISTILINE ANDMEBAAS (STATISTICAL INFORMATION SERVICE) 2
...
: Üldised
...
ikud teenused
...
Peamine liigitus (cpv): 79300000 Turu- ja majandusuuringud, avaliku arvamuse uuringud ja statistika
...
Riik: Eesti
...
Riik: Eesti
...
Riik: Eesti
...
Riik: Eesti
...
### 11",,exa
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja,Estonian,5,EESTI: TARKVARA ARENDUSTEENUSED ANDMEANALÜÜTIKA LAHENDUSTE ARENDUS- JA HOOLDUSTÖÖD,https://riigihanked.riik.ee/rhr/api/public/v1/notice/4311238/html,"# EESTI: TARKVARA ARENDUSTEENUSEDANDMEANALÜÜTIKA LAHENDUSTE AREND
...
- JA HOOLDUSTÖÖD
...
Hankija tegevus: Avalik kord ja julgeolek
...
Hankija tegevus: Avalik kord ja julgeolek
...
Hankija tegevus: Üldised avalikud teenused
...
Hankija tegevus
...
Üldised
...
ik: Eesti
...
Teate liik
...
Hanketeade",,exa
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja,Estonian,6,EESTI: SKANEERIMISE TEENUSED ARHIIVIMATERJALIDE DIGITEERIMINE,https://riigihanked.riik.ee/rhr/api/public/v1/notice/4294918/html,"ATERJAL
...
Hanketeade või kontsessiooniteade – üldkord - Muudatus
...
Ostja õiguslik vorm: Keskvalitsusasutus
...
Hankija tegevus: Üldised avalikud teenused
...
Kirjeldus: Rahvusarhiiv ostab arhiivimaterjalide digiteerimise teenust eeldatavalt 2 miljoni faili loomiseks suuruses kuni A2 tööde teostamise asukohaga Rahvusarhiivi hoones Tallinnas ja eeldatavalt 1 miljoni faili loomiseks suuruses kuni A1 tööde teostamise asukohaga Rahvusarhiivi hoones Tartus.
...
: Rahvusarhiiv
...
ab arhiivim
...
ide digiteerimise teen
...
ohaga Rahvusarhiivi hoones Tallinn
...
: Rahvusarhiiv
...
viitenumber 2
...
Kirjeldus: Rahvusarhiiv ostab arhiivimaterjalide digiteerimise teenust eeldatavalt 1 miljoni faili loomiseks suuruses kuni A1 tööde teostamise asukohaga Rahvusarhiivi hoones Tartus.
...
Rahvusarhiiv,",,exa
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja,Estonian,7,Eesti: Tarkvara programmeerimis- ja nõustamisteenused Majandustegevuse registri arendus ja hooldus,https://riigihanked.riik.ee/rhr/api/public/v1/notice/4632938/html,"Hankija õiguslik vorm: Keskvalitsusasutus
...
Hankija tegevus: Üldised avalikud teenused
...
Lisateave: Hankija ei jaota hanget osadeks lähtuvalt lepingu eseme olemusest ning sellega kaasnevate tööde eripärast. Soetatav tarkvaralahendus on funktsionaalselt terviklik ning koostoimiv, mistõttu osadeks jaotamine on ebamõistlik sest lisab täiendavaid kulusid, administratiivset koormust ja ajalisi riske eesmärkide saavutamisel. Hankija vähendab hanget osadeks jaotamata jättes projekti või selle osade õigeaegset valmimist ohustavaid riske, millega kaasneb oht, et arendustööd ei mahu kavandatud eelarve raamidesse. Kui taotleja soovib tutvuda Majandustegevuse registri funktsionaalsusega, siis tuleb tal esitada hankijale vastav taotlus riigihangete registri kaudu.
...
Lisateave: Hankija ei jaota hanget osadeks lähtuvalt lepingu eseme olemusest ning sellega kaasnevate tööde eripärast. Soetatav tarkvaralahendus on funktsionaalselt terviklik ning koostoimiv, mistõttu osadeks jaotamine on ebamõistlik sest lisab täiendavaid kulusid, administratiivset koormust ja ajalisi riske eesmärkide saavutamisel. Hankija vähendab hanget osadeks jaotamata jättes projekti või selle osade õigeaegset valmimist ohustavaid riske, millega kaasneb oht, et arendustööd ei mahu kavandatud eelarve raamidesse. Kui taotleja soovib tutvuda Majandustegevuse registri funktsionaalsusega, siis tuleb tal esitada hankijale vastav taotlus riigihangete registri kaudu.
...
### 11.2 Avaldamiste",,exa
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja,Estonian,8,EESTI: SÜSTEEMANALÜÜSI JA PROGRAMMEERIMISTEENUSED RAHVASTIKUREGISTRI MENETLUSTARKVARA TEENUSEDISAIN,https://riigihanked.riik.ee/rhr/api/public/v1/notice/4557498/html,"Hankija õiguslik vorm: Keskvalitsusasutus
...
Hankija tegevus: Avalik kord ja julgeolek
...
### 11.2 Avaldamisteave",,exa
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",2,avaliku sektori teabe taaskasutuse määratlus Eesti õigusaktid,Estonian,1,EESTI: ANDMETEENUSED RIIGIKONTROLLI RMKA ANDMESTIKU LIIDESTAMINE RIIGIHANGETE REGISTRI X-TEE ANDMETEENUSEGA,https://riigihanked.riik.ee/rhr/api/public/v1/notice/4311218/html,"# EESTI: ANDMETEENUSEDRIIGIKONTROLLI RMKA ANDMESTIKU LIIDESTAMINE RIIGIHANGETE REGISTRI X-TEE ANDMETEENUSEGA
...
Hanketeade või kontsessioonite
...
- Muudatus
...
Ostja õiguslik vorm: Avalik-õiguslik isik
...
Hankija tegev
...
Üldised
...
Pealkiri: Riigikontrolli RMKA andmestiku liidestamine riigihangete registri X-tee andmeteenusega
...
Kirjeldus: Hanke eesmärgiks on riigihangete registri andmevoo automatiseerimine riigi raamatupidamise aastaaruande õigsuse ja tehingute seaduslikkuse auditi (RMKA) andmestikus. Teenuse kirjeldus: 1. andmete transformatsioonide teostamine RMKA andmestiku ETL/DWH keskkondades ning sidumine analüütilise töölauaga „ARUANNE: RP009, RP004, FITEK ja HANKED“ Tableau serveris; 2. andmete transformatsioonide teostamine RMKA andmestiku ETL/DWH keskkondades ning sidumine riigihangete analüüsi prototüübiga, analüütiliste vaadete kuvamine Tableau serveris; 3. Tableau serveris automaatselt uueneva riigihangete registri toorandmete andmeallika (datasource) loomine; 4. ajalooliste hangete lisamine andmeallikale ja töölaudadele.
...
Peamine liigitus (cpv): 72300000 Andmeteenused
...
Eeldatav maksumus käibemaksuta: 10 000 EUR
...
Direktiiv 2014/24/EL
...
Ainult siseriiklikest õigusaktidest tulenevad kõrvalejätmise alused:
...
://riigihanked.riik.
...
-web/#/procurement/7217004/procurement-
...
Pealkiri: Riigikontrolli RMKA andmestiku liidestamine riigihangete registri X-tee andmeteenusega
...
Kirjeldus: Hanke eesmärgiks on riigihangete registri andmevoo automatiseerimine riigi raamatupidamise aastaaruande õigsuse ja tehingute seaduslikkuse auditi (RMKA) andmestikus. Teenuse kirjeldus: 1. andmete transformatsioonide teostamine RMKA andmestiku ETL/DWH keskkondades ning sidumine analüütilise töölauaga „ARUANNE: RP009, RP004, FITEK ja HANKED“ Tableau serveris; 2. andmete transformatsioonide teostamine RMKA andmestiku ETL/DWH keskkondades ning sidumine riigihangete analüüsi prototüübiga, analüütiliste vaadete kuvamine Tableau serveris; 3. Tableau serveris automaatselt uueneva riigihangete registri toorandmete andmeallika (datasource) loomine; 4. ajalooliste hangete lisamine andmeallikale ja töölaudadele.
...
Peamine liigitus (cpv): 72300000 Andmeteenused
...
NUTS):
...
ja-Eesti
...
Eeldatav maksumus käibemaksuta: 10 000 EUR
...
10
...
Muudatus
...
Teate liik
...
Hanketeade
...
kontsessiooniteade",,exa
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",2,avaliku sektori teabe taaskasutuse määratlus Eesti õigusaktid,Estonian,2,"EESTI: TURU- JA MAJANDUSUURINGUD, AVALIKU ARVAMUSE UURINGUD JA STATISTIKA STATISTILINE ANDMEBAAS (STATISTICAL INFORMATION SERVICE) 2",https://riigihanked.riik.ee/rhr/api/public/v1/notice/4207626/html,"# EESTI: TURU- JA MAJANDUSUURINGUD, AVALIKU ARVAMUSE UURINGUD JA STATISTIKASTATISTILINE ANDMEBAAS (STATISTICAL INFORMATION SERVICE) 2
...
Lepingu sõlmimise või kontsessiooni andmise teade – üldkord
...
## 1. Hankija
...
Hankija tegevus: Üldised avalikud teenused
...
## 2. Menetlus
...
Pealkiri: Statistiline andmebaas (Statistical information service) 2
...
Kirjeldus: Statistilise ja analüütilise andmeteenuse tellimine Välisministeeriumile.
...
Lepingu o
...
Peamine liigitus (cpv): 79300000 Turu- ja majandusuuringud, avaliku arvamuse uuringud ja statistika
...
## 5. Osa
...
Pealkiri: Statistiline andmebaas (Statistical information service) 2
...
Kirjeldus: Statistilise ja analüütilise andmeteenuse tellimine Välisministeeriumile.
...
### 5.
...
Peamine liigitus (cpv): 79300000 Turu- ja majandusuuringud, avaliku arvamuse uuringud ja statistika
...
Hankija jätab endale õiguse teha töövõtjalt täiendavaid oste,
...
on kirjeldatud siin: Pooltel on õigus kokku leppida teenuse tellimises ja tasu maksmises ka järgneva 12 kuu osas, sealjuures on pooltel õigus muuta järgneva 12 kuu teenuse hinda kuni 10%.
...
## 6. Tulemused
...
## 11. Teave teate kohta
...
Teate liik
...
andmise teade",,exa
