country,question_id,dimension,question,query_no,query,title,url,saved_path,file_type
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja,Usaldusteenus | Eesti usaldusnimekiri,https://sr.riik.ee/et/usaldusteenus/,debug_estonia_rerun\downloads\I1\doc_1.html,html
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",2,avaliku sektori teabe taaskasutuse määratlus Eesti õigusaktid,(I) Tegevusjuhend,https://www.e-resident.gov.ee/wp-content/uploads/2024/09/eestikeelne-MP-code-of-conduct_amended_2024-09.docx.pdf,debug_estonia_rerun\downloads\I1\doc_2.pdf,pdf
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",4,avaliku teabe taaskasutus poliitika ja mõju Eesti ministeerium,Mis on e-residentsus?,https://www.e-resident.gov.ee/et/,debug_estonia_rerun\downloads\I1\doc_3.html,html
Estonia,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",5,Public Sector Information reuse definition Estonia official documents,Key facts about Estonia for partners and investors – Knowledge base,https://learn.e-resident.gov.ee/hc/en-gb/articles/40427590348817-Key-facts-about-Estonia-for-partners-and-investors,debug_estonia_rerun\downloads\I1\doc_4.html,html
Estonia,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",1,Eesti avaliku sektori avaandmete taaskasutuse näited ja kogumine,Algab e-residentide biomeetriliste andmete kogumise äpi väljatöötamine,https://www.e-resident.gov.ee/et/blog/posts/algab-e-residentide-biomeetriliste-andmete-kogumise-api-valjatootamine/,debug_estonia_rerun\downloads\I10\doc_1.html,html
Estonia,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",3,Estonia public sector information reuse case studies report,Redwerk-ing on the future of software development,https://www.e-resident.gov.ee/blog/posts/redwerk-ing-on-the-future-of-software-development/,debug_estonia_rerun\downloads\I10\doc_2.html,html
Estonia,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",3,Estonia public sector information reuse case studies report,Estonian National Audit Office releases its latest audit report on e-Residency,https://www.e-resident.gov.ee/blog/posts/estonias-national-audit-office-releases-its-latest-audit-report-on-e-residency/,debug_estonia_rerun\downloads\I10\doc_3.html,html
Estonia,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",3,Estonia public sector information reuse case studies report,Swiss researcher discovers creative use cases for e-Residency,https://www.e-resident.gov.ee/blog/posts/creative-use-cases-for-e-residency/,debug_estonia_rerun\downloads\I10\doc_4.html,html
Estonia,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",4,Eesti avaandmete taaskasutuse strateegia ja mõjurekordi raport,eRes jätkustrateegia - A4 - v2,https://www.e-resident.gov.ee/wp-content/uploads/2026/01/E-residentsuse-jatkustrateegia-2026-2029.pdf,debug_estonia_rerun\downloads\I10\doc_5.pdf,pdf
Estonia,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",4,Eesti avaandmete taaskasutuse strateegia ja mõjurekordi raport,E-residendid tõid mullu riigikassasse rekordilised 125 miljonit eurot,https://www.e-resident.gov.ee/et/blog/posts/e-residendid-toid-mullu-riigikassasse-rekordilised-125-miljonit-eurot/,debug_estonia_rerun\downloads\I10\doc_6.html,html
