country,question_id,dimension,question,ground_truth_answer,generated_answer,response_match,response_match_normalized,ground_truth_score,generated_score,score_difference,score_abs_difference,ground_truth_explanation,generated_justification,cosine_similarity_minilm,cosine_similarity_sbert,tfidf_similarity,jaccard_similarity,bleu_score,rouge_l_f1,confidence,evidence_sufficiency
Austria,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",yes,yes,1,1,20.0,20.0,0.0,0.0,"Stipulated in the Austrian Framework for Open Government Platforms and the White Paper of the Cooperation OGD Austria, referring to the Open Principles and the Creative Commons Licence CC-BY 4.0. (https://www.data.gv.at/anleitung)

response to reviewers:
In Austria, the definition of open data reuse is stipulated in the Austrian Framework for Open Government Platforms and the White Paper of the Cooperation OGD Austria. It refers to the Open Principles and the Creative Commons Licence CC-BY 4.0. Specifically, open data reuse is defined as the use of data that is freely available to everyone to use, modify, and share for any purpose—subject to the terms specified under the Creative Commons Licence CC-BY 4.0. (Source: data.gv.at)","Austria follows European Union directives and policies on open data, which typically include clear definitions of data reuse in national legislation or policy documents. Therefore, it is reasonable to conclude that Austria has an explicit or near-explicit definition of open data reuse.",0.766394853591919,0.8126673698425293,0.24140426832510203,0.1518987341772152,0.018342169463473515,0.15384615384615385,0.8,partial
Austria,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",yes,,0,0,20.0,,,,Data.gv.at is gathering info about the creation of apps on the basis of provided open data. This is being performed for the whole of Austria. Source: https://www.data.gv.at/suche/?typeFilter%5B%5D=application,"A reliable no-RAG answer could not be generated for this question: Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?

## Sources
No retrieved sources (no-RAG baseline).",0.1579776555299759,0.28858745098114014,0.15137163696363296,0.078125,0.005844941052207697,0.11235955056179775,5.0,weak
Austria,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",yes,i don't know,0,0,20.0,0.0,-20.0,20.0,"o) a study was performed on the effect of data accessibility and data sources on trust levels: Austrian open data like the punctuality of public transport, number of infrstructural defects per day, average rent in €/m2 was used in the study. It ws shown that open data is a catalyst for citizen trust and public performance information. Impact study link: https://www.researchgate.net/publication/366747566_Trust_in_Public_Performance_Information_The_Effect_of_Data_Accessibility_and_Data_Source","While Austria is known for its active open data initiatives and is part of European data policies that encourage impact assessment, there is no widely recognized or publicly known systematic and quantified evidence specifically documenting the governmental impact of open data on efficiency, transparency, or decision-making capacity available to general knowledge. Without specific studies or official reports being explicitly known, the most cautious answer is that this information is not clearly identified.",0.7200051546096802,0.7661148309707642,0.261326593538432,0.11578947368421053,0.01068111996665171,0.11842105263157894,0.0,weak
Austria,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",No,i don't know,0,0,0.0,0.0,0.0,0.0,"Consultation round: The AUTO-WELF project investigates the extensive implementation of automated decision-making (ADM) in welfare provision across eight European countries. It analyzes how data-based infrastructures and ADM systems affect citizens, public management, and welfare provision, considering issues like transparency, systemic biases, and social inequalities. However, its public materials focus on qualitative research, ethical/political implications, and stakeholder perspectives rather than providing quantitative metrics or direct assessments regarding the reuse of open data. Other sources that quanitify the impact of open data are unknown to us at the moment. 
===
The project AUTO-WELF investigates the extensive implementation of automated decision-making (ADM) in the welfare sector based on qualitative data. (https://www.oeaw.ac.at/en/ita/projects/auto-welf)","While Austria has a well-established open data ecosystem with various initiatives encouraging data reuse, there is no widely known documented evidence or publicly available systematic studies specifically quantifying the social impact of open data on challenges like inequality, healthcare, or education. Without concrete knowledge of such dedicated impact assessments or research outputs, a conservative answer is appropriate.",0.5528404116630554,0.5687207579612732,0.20078041422326195,0.1,0.019752296844568938,0.08888888888888889,0.0,weak
Austria,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",yes,yes,1,1,20.0,20.0,0.0,0.0,"o The reuse of open government data is being monitored systematically by the number of visitors, downloads, and re-use, through the list of applications on the Austrian Data Portal and by using the web analytics tool Matomo provided by the national data portal: https://www.data.gv.at/application/ 
o In 2021, an online survey among users of the national portal has been performed: https://www.data.gv.at/2021/01/20/umfrage-gestartet/
o The City of Vienna performs incremental monitoring and quality checks through its Data Excellence Strategy (circular view on data provision and feedback).","Austria has a well-established open data infrastructure and typically implements processes to monitor and measure the reuse of its open data assets. Given Austria's advanced digital government initiatives and participation in European open data networks, it is reasonable to conclude that they track indicators such as download statistics, API usage, and reuse cases to assess impact and guide policy adjustments. Although exact process details and URLs are not provided here, such monitoring is common practice in countries with mature open data programs like Austria.",0.8162960410118103,0.8223666548728943,0.2874765415177628,0.11016949152542373,0.014372356470939044,0.14130434782608697,0.8,partial
Austria,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.",yes,no,0,0,20.0,0.0,-20.0,20.0,"Open Data is a key resource for the development of the digital economy and knowledge society, in particular for SMEs and startups which are the backbone of Austria's economy. There is an abundance of examples on how the re-use of open data has contributed to innovative solutions.
o In this regard, please see the overview of applications that have been created by using open government data. https://www.data.gv.at/application/","Based on general knowledge, while Austria actively promotes open data initiatives and has infrastructure in place for data dissemination, there is no widely known or systematically published research explicitly quantifying the economic impact such as GDP contribution, employment effects, or business creation directly attributed to open data reuse. Therefore, without clear documented economic impact studies or assessments, the conservative and accurate response is 'no.'",0.6486225128173828,0.7850223183631897,0.2666869638649132,0.13541666666666666,0.011893226480034996,0.17391304347826086,0.7,weak
Austria,I9,Impact,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.",yes,yes,1,1,40.0,40.0,0.0,0.0,,"Austria has an active open data ecosystem and public bodies have traditionally engaged in consultations and workshops to understand the needs of data reusers. These activities help tailor open data publication strategies, improve data quality, and identify priority datasets, which in turn stimulates better reuse by aligning datasets with user demands.",,,,,,,0.7,partial
Austria,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",Yes,yes,0,1,40.0,40.0,0.0,0.0,"o Basis: Federal Act on the Re-Use of Public Sector Information 2022 (Informationsweiterverwendungsgesetz – IWG 2022). https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20011973
o Responsible authority for the implementation of the Open Data Directive 2019/1024 & IWG 2022: Federal Chancellery of Austria (BKA)
o Responsible authority for the national data portal: Federal Chancellery of Austria (BKA)
o The Cooperation Open Government Data (OGD) Austria perpetuates open data governance at all levels (federal-regional-local) within the Austrian public sector
(https://www.data.gv.at/infos/cooperation-ogd-austria/)","Austria, as an EU Member State, has established a national open data policy that includes legislation transposing the EU Open Data Directive. This framework supports the systematic release and use of public sector information as open data. The policy outlines key principles and responsibilities for public authorities to ensure compliance with EU rules, promoting transparency and innovation.",0.841573178768158,0.7991439700126648,0.2867207436960934,0.14285714285714285,0.054731748451208054,0.14666666666666667,0.8,partial
Austria,P13,Policy,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model",Yes,yes,0,1,40.0,40.0,0.0,0.0,"o The Cooperation OGD Austria represents the essential governance structure in Austria, including the federal level, states, cities and municipalities. 
o The open data portal data.gv.at is a cooperation project of the Federal Chancellery of Austria (BKA) and the nine federal states with a steering committee and an expert group (cooperation agreement: https://www.data.gv.at/wp-content/uploads/2021/09/data.gv_.at_Kooperationsvereinbarung.pdf)
o The Federal Chancellery is responsible for the implementation of the Federal Law on the Re-Use of Information (IWG), including the Implementing Regulation (EU) 2023/138 on high value datasets.","Austria has established governance structures to manage open data initiatives, typically involving coordination between governmental institutions and various stakeholders, including public agencies, civil society, and private sector participants. These structures often take form as steering committees or working groups that ensure multi-stakeholder participation, helping to align policy, technical standards, and data publication practices across different sectors. This inclusive approach enables a more collaborative environment for open data governance.",0.6780523061752319,0.8074421882629395,0.1176040510752383,0.0782608695652174,0.005759940071252057,0.1301775147928994,0.8,partial
Austria,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",the majority of public bodies,few public bodies,0,0,15.0,5.0,-10.0,10.0,"All metadata of regional / local public bodies are published on data.gv.at > more than 1,400 organizations","Austria has a fairly centralized approach to open data initiatives, with national-level efforts being more prominent. While some local and regional public bodies engage in open data activities, these initiatives are limited in scope and not widely adopted across most local or regional authorities. Therefore, it is reasonable to conclude that only a few local/regional public bodies conduct open data initiatives.",0.4733002483844757,0.4799971282482147,0.22685488064667864,0.1206896551724138,0.008365100805985596,0.12345679012345678,3.0,weak
