country,question_id,dimension,question,ground_truth_answer,generated_answer,ground_truth_answer_canonical,generated_answer_canonical,response_match,response_match_normalized,ground_truth_score,generated_score,score_difference,score_abs_difference,ground_truth_explanation,generated_justification,cosine_similarity_minilm,cosine_similarity_sbert,tfidf_similarity,jaccard_similarity,bleu_score,rouge_l_f1,confidence,evidence_sufficiency
Austria,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",yes,no,Yes,No,0,0,20.0,0.0,-20.0,20.0,"Stipulated in the Austrian Framework for Open Government Platforms and the White Paper of the Cooperation OGD Austria, referring to the Open Principles and the Creative Commons Licence CC-BY 4.0. (https://www.data.gv.at/anleitung)

response to reviewers:
In Austria, the definition of open data reuse is stipulated in the Austrian Framework for Open Government Platforms and the White Paper of the Cooperation OGD Austria. It refers to the Open Principles and the Creative Commons Licence CC-BY 4.0. Specifically, open data reuse is defined as the use of data that is freely available to everyone to use, modify, and share for any purpose—subject to the terms specified under the Creative Commons Licence CC-BY 4.0. (Source: data.gv.at)","No, there is no explicit or near-explicit definition of open data reuse documented for Austria in the available evidence. The sources primarily focus on the definition of Open Government Data itself, its principles (such as completeness, timeliness, and primacy of source), legal frameworks around open data publication, and the societal or economic benefits of open data. While open data reuse is referenced in a general sense — for example, as the free usage, distribution, and further use of data (S5) — none of the documents provide a formal, methodological, or policy-based definition that explicitly defines what constitutes ""open data reuse."" There are no clear statements or formalized definitions of the concept of reuse in open data policies, methodologies, or monitoring documents for Austria. Thus, despite some descriptions and references to reuse practices or encouragement of reuse for innovation, a definitional framework specific to open data reuse does not appear to exist in the evidence.

## Sources
(1): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(2): Open Government Data - Digital Austria
https://www.digitalaustria.gv.at/verwaltung/egovernment/open-government-data.html
(3): Grünbuch: Partizipation im digitalen Zeitalter
https://oeffentlicherdienst.gv.at/wp-content/uploads/2023/02/201103_Partizipation_Gruenbuch_A4_BF.pdf
(4): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(5): Datenstrategie für Österreich
https://www.data.gv.at/wp-content/uploads/2024/10/Datenstrategie_barrierefrei_final-02102024.pdf",0.7859910726547241,0.8660824298858643,0.5277071493046346,0.14619883040935672,0.07210779565758701,0.16923076923076924,95.0,sufficient
Austria,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",yes,no,Yes,No,0,0,20.0,0.0,-20.0,20.0,Data.gv.at is gathering info about the creation of apps on the basis of provided open data. This is being performed for the whole of Austria. Source: https://www.data.gv.at/suche/?typeFilter%5B%5D=application,"No public bodies in Austria have been identified as having developed a systematic way of gathering reuse cases of open data or related reuse examples. The available evidence primarily focuses on waste reuse and circular economy strategies, such as in the RepaNet Umsetzungskonzept, which addresses the preparation for reuse of waste materials and the setup of reuse networks with qualified personnel (S1, S2). However, these documents pertain to material reuse and waste management rather than systematic collection of data reuse cases in the context of open data or digital reuse.

Further evidence from social policy and digital transformation documents (S3–S5) describes data collection and monitoring related to social services and administrative digital systems but does not indicate any formal or recurring processes for gathering and reporting cases of data reuse by public bodies.

Although Austria has guidelines and processes for open data publication and prioritization (S8), the evidence does not show a dedicated or systematic method—such as recurring reporting, official reuse showcases, or a data reuse case repository—managed by public bodies that gather reuse cases comprehensively.

Therefore, based on the evidence provided, it is concluded that no such systematic collection process exists.

## Sources
(1): Umsetzungskonzept
https://www.bmluk.gv.at/dam/jcr:a704d069-a9bc-41e1-804d-84b2f1d5f88e/RepaNet_Umsetzungskonzept_Re-Use.pdf
(2): Machbarkeitsstudie: Datenbasis zu Obdachlosigkeit, Wohnungslosigkeit und prekärem Wohnen
https://www.sozialministerium.gv.at/dam/jcr:f87f9311-c2cb-4ba7-841d-e04b51e52575/Endbericht_Datenbasis_Wohnungslosigkeit.pdf
(3): Digitale Transformation der öffentlichen Verwaltung in Österreich
https://www.parlament.gv.at/dokument/fachinfos/zukunftsthemen/Digitale-Transformation-der-oeffentlichen-Verwaltung_Endbericht_2026.pdf
(4): Weiterentwicklung eines Monitoring-Konzepts zur österreichischen Kreislaufwirtschaftsstrategie
https://www.bmluk.gv.at/dam/jcr:07753443-0495-4f8a-b92c-fd68b59777d3/Weiterentwicklung%20eines%20Monitoring-Konzepts%20zur%20%C3%B6sterreichischen%20Kreislaufwirtschaftsstrategie.pdf
(5): Grünbuch: Partizipation im digitalen Zeitalter
https://oeffentlicherdienst.gv.at/wp-content/uploads/2023/02/201103_Partizipation_Gruenbuch_A4_BF.pdf
(6): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf",0.4177302122116089,0.5864772796630859,0.3275528266055692,0.0673076923076923,0.017149033219288644,0.08488063660477453,0.9,sufficient
Austria,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",yes,yes,Yes,Yes,1,1,20.0,20.0,0.0,0.0,"o) a study was performed on the effect of data accessibility and data sources on trust levels: Austrian open data like the punctuality of public transport, number of infrstructural defects per day, average rent in €/m2 was used in the study. It ws shown that open data is a catalyst for citizen trust and public performance information. Impact study link: https://www.researchgate.net/publication/366747566_Trust_in_Public_Performance_Information_The_Effect_of_Data_Accessibility_and_Data_Source","Yes, there is evidence indicating the impact created by open data on governmental challenges in Austria, supported by official sources. First, according to the RIS Dokument (S1, S8), although the exact value of Open Government Data (OGD) for politics and administration can only be quantified to a limited extent, it highlights substantial improvements in interoperability between administrative data sets, enhanced opportunities for linking and analyzing internal data, and increased transparency leading to strengthened democracy and trust in institutions. This reflects positive influences on efficiency, transparency, and decision-making capacity within government. Second, the official framework document on Open Government Data by Cooperation OGD Austria (S4, S5) asserts that open data publication enhances participation, transparency, societal trust, and fosters new business models—all indicators of broader governmental and societal impact. Moreover, the Digital Austria platform (S6, S7) outlines principles of open data that directly support improved availability and usability of government data which is fundamental for impact and reuse. While direct quantitative impact assessments or studies with precise metrics are not explicitly detailed, these sources collectively provide systematic investigations, official frameworks, and reasoned analyses documenting the qualitative impact of open data on government efficiency, transparency, and decision making in Austria. The RIS Dokument is a primary official legal source demonstrating recognized impact and potential benefits. The URLs for further reference are:
- https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
- https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
- https://www.digitalaustria.gv.at/verwaltung/egovernment/open-government-data.html

These sources represent official documentation and strategic descriptions that systematically address and quantify, at least qualitatively, the impact of open data reuse on governmental challenges in Austria.

## Sources
(1): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(2): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(3): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(4): Open Government Data - Digital Austria
https://www.digitalaustria.gv.at/verwaltung/egovernment/open-government-data.html",0.6738458275794983,0.800987958908081,0.3802773884953591,0.08181818181818182,0.005713153268089778,0.102880658436214,90.0,sufficient
Austria,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",No,yes,No,Yes,0,0,0.0,20.0,20.0,20.0,"Consultation round: The AUTO-WELF project investigates the extensive implementation of automated decision-making (ADM) in welfare provision across eight European countries. It analyzes how data-based infrastructures and ADM systems affect citizens, public management, and welfare provision, considering issues like transparency, systemic biases, and social inequalities. However, its public materials focus on qualitative research, ethical/political implications, and stakeholder perspectives rather than providing quantitative metrics or direct assessments regarding the reuse of open data. Other sources that quanitify the impact of open data are unknown to us at the moment. 
===
The project AUTO-WELF investigates the extensive implementation of automated decision-making (ADM) in the welfare sector based on qualitative data. (https://www.oeaw.ac.at/en/ita/projects/auto-welf)","Yes, there is evidence that Austria has documented data on the impact of open data on social challenges through research and impact assessments. 

1. The Austrian Open Data Guide provides a concrete example of social impact where COVID-19 pandemic data was made openly available by authorities. This enabled the development of over 85 different applications and visualizations, supporting public health awareness and crisis response, clearly demonstrating the reuse of open data to address a major social challenge. (Source: ""Ein Leitfaden für offene Daten"", https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf)

2. Furthermore, the Austrian Data Strategy report discusses the use of Public Value Assessments to illustrate the societal benefits arising from data reuse. It emphasizes that open data enhances participation, transparency, and equitable access, while highlighting the government's commitment to fostering data literacy and informing citizens about the advantages of responsible data use to contribute to public value and trust in state institutions. (Source: ""Datenstrategie für Österreich"", https://www.digitalaustria.gv.at/dam/jcr:c10856b0-bb4f-4240-8c75-776cab4be71a/Datenstrategie_barrierefrei_final-02102024.pdf)

These sources demonstrate that Austria not only provides open data but also systematically monitors and reports on the impact and social utility of open data reuse, especially in healthcare and broader societal participation, confirming the availability of data on the positive impacts of open data on social challenges.

## Sources
(1): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(2): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(3): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(4): Untitled source
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(5): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(6): Datenstrategie für Österreich
https://www.digitalaustria.gv.at/dam/jcr:c10856b0-bb4f-4240-8c75-776cab4be71a/Datenstrategie_barrierefrei_final-02102024.pdf",0.5907191038131714,0.5539215207099915,0.3888036947814861,0.1,0.032459050694649313,0.11836734693877551,90.0,sufficient
Austria,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",yes,yes,Yes,Yes,1,1,20.0,20.0,0.0,0.0,"o The reuse of open government data is being monitored systematically by the number of visitors, downloads, and re-use, through the list of applications on the Austrian Data Portal and by using the web analytics tool Matomo provided by the national data portal: https://www.data.gv.at/application/ 
o In 2021, an online survey among users of the national portal has been performed: https://www.data.gv.at/2021/01/20/umfrage-gestartet/
o The City of Vienna performs incremental monitoring and quality checks through its Data Excellence Strategy (circular view on data provision and feedback).","Yes, Austria has processes in place to monitor the reuse of its open data. According to the official guideline document ""Ein Leitfaden für offene Daten"" available at https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf, the process for maintaining the open data catalog includes routine evaluation and internal data monitoring based on defined assessment criteria. Specifically, this document describes how data catalogs are regularly reviewed and updated following initial publication, with attention given to licenses, metadata, and data formats, as well as the interests and requests of stakeholders gathered through surveys and events. These monitoring criteria help assess usage and reuse, facilitating prioritization and improvement of open data offerings. Additionally, references to handling data requests pursuant to the Information Reuse Act (Informationsweiterverwendungsgesetz) imply the existence of a legal and operational framework supporting tracking of data reuse indirectly by managing data inquiries. This structured approach constitutes an official mechanism to observe and evaluate open data reuse in Austria.

## Sources
(1): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(2): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(3): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(4): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba",0.7759432792663574,0.8544991612434387,0.4861039699529037,0.10555555555555556,0.04923837922405379,0.14606741573033707,90.0,sufficient
Austria,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.",yes,yes,Yes,Yes,1,1,20.0,20.0,0.0,0.0,"Open Data is a key resource for the development of the digital economy and knowledge society, in particular for SMEs and startups which are the backbone of Austria's economy. There is an abundance of examples on how the re-use of open data has contributed to innovative solutions.
o In this regard, please see the overview of applications that have been created by using open government data. https://www.data.gv.at/application/","Yes, Austria has documented evidence pointing to the economic impact of open data, particularly through research studies and strategic reports. 

1. A key study titled ""Geschäftsmodelle in Open Government Data"" presents an empirical investigation into business models currently used to commercially exploit open government data, predominantly in the Austrian context. This study includes expert interviews that identify actual revenue generation opportunities connected to open data reuse within Austria, indicating real economic effects and innovative business applications (S1, S2).

2. Official government and policy documents such as the ""Rahmenbedingungen für Open Government Data Portale"" explain that while the precise economic value of open data for public administration is still only partially quantifiable, positive effects are anticipated from new business models, improved productivity through interoperable administrative data, and increased tax revenues stemming from applications sold commercially (S6, S7).

3. Additionally, Austria’s implementation of the EU Open Data Directive through the Informationsweiterverwendungsgesetz 2022 (IWG 2022) supports the commercial reuse of public sector data, institutionalizing the framework under which economic reuse and innovations are fostered via open data, e.g., through high-value datasets (S8).

Although some reports note challenges in measuring exact GDP or employment effects, these sources collectively demonstrate systematic investigations and studies that outline the impact of open data reuse on innovation, business models, and economic opportunity in Austria.

## Sources
(1): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(2): Zwischenbericht zur Umsetzung der Open Innovation ...
https://www.bmimi.gv.at/dam/jcr:92c587a4-ab26-4af8-a3cf-63fac265301a/oi_strategie_zwischenbericht_barrierefrei.pdf
(3): Zwischenbericht zur Umsetzung der Open Innovation Strategie für Österreich
https://www.bmimi.gv.at/dam/jcr:92c587a4-ab26-4af8-a3cf-63fac265301a/oi_strategie_zwischenbericht_barrierefrei.pdf
(4): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(5): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(6): Weiterverwendung von Daten und Dokumenten
https://www.usp.gv.at/themen/betrieb-und-umwelt/laufender-betrieb/weitere-informationen-laufender-betrieb/informationsweiterverwendung.html",0.7506810426712036,0.8532490730285645,0.47185423073917787,0.11538461538461539,0.034228725678141815,0.11973392461197341,0.9,sufficient
Austria,I9,Impact,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.",yes,yes,Yes,Yes,1,1,40.0,40.0,0.0,0.0,,"Yes, public bodies in Austria have actively undertaken activities to better understand reusers' needs within the past year to stimulate the reuse of open data. This is evidenced by the official Open Data Leitfaden (guideline), which outlines that surveys and events are explicitly recommended methods to gauge the interests of different stakeholders and target audiences. These methods help identify which data sets are in demand and assist with prioritizing and enhancing the data catalog accordingly.

1. Methodologies employed include conducting surveys and organizing stakeholder engagement events to learn about data needs and reuse interests. Such direct inquiry offers a clear foundation for political and departmental decision-making about data publication priorities.

2. The resulting data catalog, derived from engaging with users and reusers, forms the basis for ongoing enhancements and additions, thus fostering more targeted release of open data sets. Additionally, this process helps reduce administrative effort by responding to reuse questions through references to open data, improving overall data dissemination efficiency.

3. By embedding user feedback loops through these consultation formats, Austria ensures that open data is made available in ways that align with demand, supporting better reuse outcomes and thus stimulating economic, social, and governmental benefits.

Overall, the existence of these structured consultation activities and their role in data prioritization and publication demonstrates a clear commitment by Austrian public bodies to understanding and responding to reusers’ needs.

## Sources
(1): Untitled source
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(2): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(3): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(4): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(5): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba",,,,,,,95.0,sufficient
Austria,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",Yes,yes,Yes,Yes,1,1,40.0,40.0,0.0,0.0,"o Basis: Federal Act on the Re-Use of Public Sector Information 2022 (Informationsweiterverwendungsgesetz – IWG 2022). https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20011973
o Responsible authority for the implementation of the Open Data Directive 2019/1024 & IWG 2022: Federal Chancellery of Austria (BKA)
o Responsible authority for the national data portal: Federal Chancellery of Austria (BKA)
o The Cooperation Open Government Data (OGD) Austria perpetuates open data governance at all levels (federal-regional-local) within the Austrian public sector
(https://www.data.gv.at/infos/cooperation-ogd-austria/)","Yes, Austria has a national open data policy framework that includes formal national legislation for the transposition of the EU Open Data Directive (Directive (EU) 2019/1024).

1. Legal and Policy Basis: The Open Data and PSI Directive (EU) 2019/1024 has been transposed at the federal level in Austria through the Informationsweiterverwendungsgesetz 2022 (Information Reuse Act 2022, IWG 2022). This law mandates public sector bodies to enable reuse of their data sets for commercial and non-commercial purposes, aligning closely with the EU directive's provisions. Furthermore, implementation occurs at both federal and regional levels (the so-called 9+1 rule), ensuring comprehensive application of the directive throughout the country.

2. Governance and Implementation: Open data sets considered ""high value datasets"" (HVD) under the EU directive are required to be made available as open data via Austria's national data portal (data.gv.at). The portal and supporting official guideline documents provide a structured approach for public entities to publish data openly while respecting data protection constraints, such as anonymization measures.

3. References to Documentation: The national guideline ""Ein Leitfaden für offene Daten"" (https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf) explicitly discusses the legal framework referencing the EU Open Data Directive. Additionally, the overview on Weiterverwendung von Daten und Dokumenten at https://www.usp.gv.at/themen/betrieb-und-umwelt/laufender-betrieb/weitere-informationen-laufender-betrieb/informationsweiterverwendung.html details the legal basis grounded in the IWG 2022 as the implementation vehicle for the Open Data Directive.

These elements collectively confirm Austria's formal national open data policy and legislation for the EU directive’s transposition, thereby fulfilling the question requirements comprehensively.

## Sources
(1): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(2): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(3): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(4): RIS - NÖ Informationsgesetz 2025 - Landesrecht konsolidiert Niederösterreich, Fassung vom 10.04.2026
https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=LrNO&Gesetzesnummer=20001464
(5): Weiterverwendung von Daten und Dokumenten
https://www.usp.gv.at/themen/betrieb-und-umwelt/laufender-betrieb/weitere-informationen-laufender-betrieb/informationsweiterverwendung.html",0.8415024280548096,0.8250465393066406,0.5511672242001036,0.18274111675126903,0.05802460889941589,0.13524590163934427,0.95,sufficient
Austria,P13,Policy,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model",Yes,yes,Yes,Yes,1,1,40.0,40.0,0.0,0.0,"o The Cooperation OGD Austria represents the essential governance structure in Austria, including the federal level, states, cities and municipalities. 
o The open data portal data.gv.at is a cooperation project of the Federal Chancellery of Austria (BKA) and the nine federal states with a steering committee and an expert group (cooperation agreement: https://www.data.gv.at/wp-content/uploads/2021/09/data.gv_.at_Kooperationsvereinbarung.pdf)
o The Federal Chancellery is responsible for the implementation of the Federal Law on the Re-Use of Information (IWG), including the Implementing Regulation (EU) 2023/138 on high value datasets.","Yes, Austria has a governance structure in place that enables the participation and inclusion of various open data stakeholders. 

1. Strategic and Legal Framework: The Austrian open data ecosystem is supported by a clear strategic and legal basis outlined in documents such as the “Rahmenbedingungen für Open Government Data Plattformen” (Framework Conditions for Open Government Data Platforms), which establishes principles and requirements for open government data, emphasizing transparency, stakeholder trust, and participatory value creation involving politics, administration, citizens, and businesses (S1, S2).

2. Coordinated Stakeholder Involvement: The governance model involves multiple stakeholder groups through working groups and cooperation frameworks such as the Cooperation OGD Austria, which includes universities, federal ministries, and local governments (S1). This collaboration fosters participation from a range of actors including administration, economy, and society, ensuring that their perspectives contribute to open data policies and implementation.

3. Participation Architecture & Policy Cycle Integration: Austria’s governance extends beyond data provision to include a structured participation architecture that integrates both analog and digital methods tailored to policy cycle phases. This approach ensures inclusive stakeholder engagement, transparent processes, and a culture of trust and collaboration between political, administrative actors, and the public, as described in the “Grünbuch: Partizipation im digitalen Zeitalter” (Green Paper on Participation in the Digital Age) (S3, S5).

4. Implementation and Monitoring: The governance structure is supported by commitments from political-administrative leaders and sustained by transparent frameworks, resource allocation, monitoring, ongoing evaluation, and stakeholder management practices. This creates stable and traceable processes for continuous improvement and greater inclusivity (S3, S5).

Together, these elements demonstrate that Austria has established an operational governance structure that fosters multi-stakeholder participation and inclusion in their open data initiatives.

## Sources
(1): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(2): Grünbuch: Partizipation im digitalen Zeitalter
https://oeffentlicherdienst.gv.at/wp-content/uploads/2023/02/201103_Partizipation_Gruenbuch_A4_BF.pdf
(3): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(4): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf",0.739558219909668,0.8136812448501587,0.41625337481101854,0.12931034482758622,0.040756694888057485,0.12836438923395443,0.95,sufficient
Austria,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",the majority of public bodies,few public bodies,The majority of public bodies,few public bodies,0,0,15.0,5.0,-10.0,10.0,"All metadata of regional / local public bodies are published on data.gv.at > more than 1,400 organizations","Few local and regional public bodies in Austria conduct open data initiatives. The primary legislative framework specifies that at the federal level, each ministry must appoint a dedicated Open Data Officer, and public bodies with close organizational links can share one, indicating strong governance presence mainly at the national level (S1, S2). However, the evidence lacks clear and direct information confirming broad open data activity or institutionalization at local or regional levels. The open data strategy and portal (data.gv.at) and official guidance emphasize transparency, reuse principles, and technical standards for open government data primarily addressing federal entities and centralized public bodies (S4, S5, S6). While the potential benefits for administration, collaboration, and transparency are widely recognized and promoted, no substantial evidence demonstrates that the majority or approximately half of local and regional bodies actively engage in open data publishing or have mandated open data officers (S3, S6). Due to this absence of comprehensive local/regional breadth and the evident focus on federal ministries and agencies, it is prudent to conclude that only a few local or regional public bodies currently conduct open data initiatives. This interpretation aligns with the question-specific guidance to avoid overstating the extent of participation beyond clearly supported evidence.

## Sources
(1): BUNDESGESETZBLATT
https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2022_I_116/BGBLA_2022_I_116.pdf
(2): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(3): Open Government Data - Digital Austria
https://www.digitalaustria.gv.at/verwaltung/egovernment/open-government-data.html
(4): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(5): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf",0.5195207595825195,0.5255264639854431,0.253156577732682,0.06470588235294118,0.004688068188011762,0.06006006006006005,0.85,partial
