country,question_id,dimension,question,response_scoring,final_answer_selected,score_suggestion,justification_generated,confidence,evidence_sufficiency,mode
Austria,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.","{'yes': 20, 'no': 0}",yes,20.0,"Yes, Austria has a formal and explicit foundation defining open data reuse within its legal and strategic framework. The Austrian Data Strategy and related legislative instruments such as the Informationsweiterverwendungsgesetz (IWG) and the Informationsfreiheitsgesetz (IFG) provide the legal basis for the reuse of data from public bodies, publicly funded research, and high-value datasets. These pieces of legislation define the reuse of open government data, ensuring accessibility, further use, and distribution under specified conditions. The IWG specifically establishes the rights and frameworks for data reuse, highlighting the availability of datasets for public and economic benefit, while the data.gov.at portal serves as the central point for open data dissemination. The governmental Open Data strategy explicitly addresses reuse by emphasizing transparency, trust, and the promotion of innovation and data economy. This reflects an official and well-defined understanding of what constitutes open data reuse in Austria. Although no single sentence explicitly summarizes ""open data reuse"" as a standalone definition, the combined legal provisions and strategy documents clearly articulate the concept and conditions of reuse in a detailed and formal manner.

## Sources
(1): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(2): Open Government Data - Digital Austria
https://www.digitalaustria.gv.at/verwaltung/egovernment/open-government-data.html
(3): Datenstrategie für Österreich
https://www.data.gv.at/wp-content/uploads/2024/10/Datenstrategie_barrierefrei_final-02102024.pdf
(4): Datenstrategie für Österreich
https://www.digitalaustria.gv.at/dam/jcr:c10856b0-bb4f-4240-8c75-776cab4be71a/Datenstrategie_barrierefrei_final-02102024.pdf
(5): Datenstrategie für Österreich
https://www.digitalaustria.gv.at/dam/jcr%3Ac10856b0-bb4f-4240-8c75-776cab4be71a/Datenstrategie_barrierefrei_final-02102024.pdf
(6): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(7): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(8): ein Datenschatz für den öffentlichen Diskurs
https://www.parlament.gv.at/aktuelles/mediathek/podcasts/rund-ums-parlament-folge-04/index.html",95.0,sufficient,chroma_retrieval_experiment
Austria,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?","{'yes': 20, 'no': 0, ""i don't know"": 0}",no,0.0,"No, the evidence does not show that Austrian public bodies have developed a systematic way to gather reuse cases of open data or related reuse examples. Although there are references to monitoring concepts for other domains like circular economy and waste reuse strategies and advisory measures for reuse businesses, these do not indicate a structured, recurring collection or reporting process specifically for reuse cases of public data. The Open Data Guidelines mention stakeholder engagement and data catalog maintenance but do not describe systematic reuse case gathering or official reuse showcases. Similarly, frameworks for data-based social impact analysis or digital transformation remain focused on data quality, evaluation, and policy participation rather than reuse documentation. Thus, there is insufficient evidence of an institutionalized, systematic process to collect and track open data reuse cases by public bodies in Austria.

## Sources
(1): Weiterentwicklung eines Monitoring-Konzepts zur österreichischen Kreislaufwirtschaftsstrategie
https://www.bmluk.gv.at/dam/jcr:07753443-0495-4f8a-b92c-fd68b59777d3/Weiterentwicklung%20eines%20Monitoring-Konzepts%20zur%20%C3%B6sterreichischen%20Kreislaufwirtschaftsstrategie.pdf
(2): Umsetzungskonzept
https://www.bmluk.gv.at/dam/jcr:a704d069-a9bc-41e1-804d-84b2f1d5f88e/RepaNet_Umsetzungskonzept_Re-Use.pdf
(3): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(4): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(5): Untitled source
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(6): Machbarkeitsstudie: Datenbasis zu Obdachlosigkeit, Wohnungslosigkeit und prekärem Wohnen
https://www.sozialministerium.gv.at/dam/jcr:f87f9311-c2cb-4ba7-841d-e04b51e52575/Endbericht_Datenbasis_Wohnungslosigkeit.pdf
(7): Digitale Transformation der öffentlichen Verwaltung in Österreich
https://www.parlament.gv.at/dokument/fachinfos/zukunftsthemen/Digitale-Transformation-der-oeffentlichen-Verwaltung_Endbericht_2026.pdf
(8): Grünbuch: Partizipation im digitalen Zeitalter
https://oeffentlicherdienst.gv.at/wp-content/uploads/2023/02/201103_Partizipation_Gruenbuch_A4_BF.pdf",85.0,partial,chroma_retrieval_experiment
Austria,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}",yes,20.0,"Yes, documented evidence indicates that Austria acknowledges the impact of open data on governmental challenges through structured assessments. The RIS Dokument highlights that open government data improves administrative efficiency by enabling interoperability among public sector data and facilitating the linking and analysis of internal data sets for improved insights. This has fostered collaboration both within government and with external stakeholders. Moreover, transparency enhancements driven by open data contribute to strengthening democracy and public trust in institutions. Although precise quantification remains limited, official Austrian analyses recognize tangible benefits such as better data governance, improved decision-making, and economic opportunities through data reuse. The national open data framework and related platforms emphasize these impacts, underpinned by formal documentation and strategic guidance accessible at government portals. These constitute systematic investigations validating open data effects on government effectiveness and transparency. URLs providing direct access to such evidence include the RIS Dokument (https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html) and the Open Government Data framework documents (https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba).

## Sources
(1): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(2): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(3): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(4): Open Government Data - Digital Austria
https://www.digitalaustria.gv.at/verwaltung/egovernment/open-government-data.html",0.85,sufficient,chroma_retrieval_experiment
Austria,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}",yes,20.0,"Yes, Austria provides data and evidence demonstrating the impact of open data on social challenges through systematic investigations and documented reuse cases. The ""Leitfaden für offene Daten"" (Open Data Guide) highlights concrete impact from open data reuse, exemplified by the COVID-19 pandemic where open government data enabled the development of over 85 applications and visualizations contributing to public health awareness and management. This constitutes documented, measurable reuse influencing healthcare outcomes. Additionally, RIS and open government documentation underline benefits such as improved data interoperability, enhanced collaboration, increased data quality through crowdsourcing, transparency, and strengthened democratic trust. While precise quantification remains limited, these multiple sources collectively evidence broad societal effects in sectors like health and governance. Hence, Austria possesses impact data from government-led reports and research studies that quantify or illustrate meaningful social outcomes originating from open data reuse.

## Sources
(1): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(2): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(3): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(4): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(5): Untitled source
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(6): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(7): Analyse der rechtlichen Rahmenbedingungen für Open Science in Österreich
https://www.bmb.gv.at/dam/jcr:8e3c899e-60c9-4841-83a2-da20d47a5a5c/Open_Science_Analyse_der_rechtlichen_Rahmenbedingungen_in_%C3%96sterreich_%C5%A0korjanc,_Endbericht_(Okt_2023)_2023-12-17.pdf
(8): Analyse der rechtlichen Rahmenbedingungen für Open ...
https://www.bmb.gv.at/dam/jcr:8e3c899e-60c9-4841-83a2-da20d47a5a5c/Open_Science_Analyse_der_rechtlichen_Rahmenbedingungen_in_%C3%96sterreich_%C5%A0korjanc,_Endbericht_(Okt_2023)_2023-12-17.pdf",0.95,sufficient,chroma_retrieval_experiment
Austria,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.","{'yes': 20, 'no': 0, ""i don't know"": 0}",yes,20.0,"Yes, Austria has processes in place to monitor the reuse of its open data. These include an internal data monitoring methodology described in the official Open Data Guide, which uses evaluation criteria to assess datasets and their impact. Monitoring incorporates indicators such as reduction of data requests due to open availability, public awareness of the open government initiatives, and the number of new applications developed using open data. Additionally, data catalogues and stakeholder surveys inform prioritization and adjustments, creating a feedback mechanism for continuous improvement and reuse tracking. The administrative responsibility and technical implementation for this monitoring are formally assigned within municipal and governmental departments, ensuring structured oversight. Relevant documentation and guidelines are publicly available at https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf and https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html.

## Sources
(1): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(2): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(3): Untitled source
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(4): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(5): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(6): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(7): Untitled source
https://www.data.gv.at/static/uploads/2024/10/2024_Umfeldanalyse_Datenstrategie_WU-Cbased.pdf
(8): Umfeldanalyse zur österreichischen Datenstrategie - Wien
https://www.data.gv.at/static/uploads/2024/10/2024_Umfeldanalyse_Datenstrategie_WU-Cbased.pdf",0.95,sufficient,chroma_retrieval_experiment
Austria,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}",yes,20.0,"Yes, Austria provides evidence on the economic impact of open data through research studies and policy documents. A master's thesis on business models in Open Government Data highlights commercially used models and revenue generation in the Austrian context, indicating economic benefits from data reuse. Austria's data strategy explicitly aims to establish the country as a knowledge and innovation hub, with Public Value Assessments designed to better illustrate the economic and societal impact of data use in practical cases. Additionally, official frameworks emphasize that open data fosters innovation, enables new product development, stimulates business creation, and could lead to higher tax revenues for the state. Though precise quantification remains limited, these systematic studies and strategic documents demonstrate measurable economic effects tied to open data reuse in Austria.

## Sources
(1): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(2): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(3): Weiterverwendung von Daten und Dokumenten
https://www.usp.gv.at/themen/betrieb-und-umwelt/laufender-betrieb/weitere-informationen-laufender-betrieb/informationsweiterverwendung.html
(4): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(5): Datenstrategie für Österreich
https://www.data.gv.at/wp-content/uploads/2024/10/Datenstrategie_barrierefrei_final-02102024.pdf
(6): Datenstrategie für Österreich
https://www.digitalaustria.gv.at/dam/jcr:c10856b0-bb4f-4240-8c75-776cab4be71a/Datenstrategie_barrierefrei_final-02102024.pdf
(7): Datenstrategie für Österreich
https://www.digitalaustria.gv.at/dam/jcr%3Ac10856b0-bb4f-4240-8c75-776cab4be71a/Datenstrategie_barrierefrei_final-02102024.pdf
(8): Open Government Data - Digital Austria
https://www.digitalaustria.gv.at/verwaltung/egovernment/open-government-data.html",95.0,sufficient,chroma_retrieval_experiment
Austria,I9,Impact,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.","{'yes': 40, 'no': 0, ""i don't know"": 0}",yes,40.0,"Yes, public bodies in Austria have carried out activities over the past year aimed at better understanding reusers' needs to stimulate open data reuse. The ""Ein Leitfaden für offene Daten"" explicitly mentions the use of surveys and stakeholder engagement events (such as consultations and workshops) to identify the interests and requirements of different user groups. These methods feed into the development of a data catalog that prioritizes datasets and informs policy and departmental decisions, directly supporting targeted data publication and reuse. Additionally, the national Data Strategy for Austria involved broad stakeholder participation through workshops and an online public consultation, gathering proposals from the public administration, industry, and civil society. This engagement has shaped mechanisms to improve data governance, accessibility, data quality, and standards, fostering an environment conducive to reuse. Collectively, these concerted consultation and engagement efforts demonstrate a clear commitment to understanding and addressing reuser needs to enhance open data reuse.

## Sources
(1): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(2): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(3): Untitled source
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(4): Datenstrategie für Österreich - Digital Austria
https://www.digitalaustria.gv.at/verwaltung/strategien/datenstrategie.html
(5): Datenstrategie für Österreich
https://www.digitalaustria.gv.at/verwaltung/strategien/datenstrategie.html
(6): Datenstrategie für Österreich
https://www.data.gv.at/wp-content/uploads/2024/10/Datenstrategie_barrierefrei_final-02102024.pdf
(7): Datenstrategie für Österreich
https://www.digitalaustria.gv.at/dam/jcr:c10856b0-bb4f-4240-8c75-776cab4be71a/Datenstrategie_barrierefrei_final-02102024.pdf
(8): Datenstrategie für Österreich
https://www.digitalaustria.gv.at/dam/jcr%3Ac10856b0-bb4f-4240-8c75-776cab4be71a/Datenstrategie_barrierefrei_final-02102024.pdf",0.95,sufficient,chroma_retrieval_experiment
Austria,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.","{'yes': 40, 'no': 0, 'other': 40}",yes,40.0,"Yes, Austria has a national policy framework that addresses open data and incorporates the transposition of the EU Open Data Directive 2019/1024. The Open Science Policy Austria, published by the Austrian Ministry for Science and Research, explicitly references the European Directive on open data and the reuse of public sector information, mandating the support for open access to publicly funded research data in line with the Directive's principles. This document serves as a strategic guideline aligning Austria’s open data objectives with EU legislation, ensuring legal compliance and implementation. Furthermore, Austria’s open data initiatives are supported by official platforms such as data.gv.at, which integrates datasets compliant with EU standards, demonstrating governance and operational backing for the national open data framework. These elements confirm a formal national policy and legal basis for open data consistent with the EU Directive requirements.

## Sources
(1): Open Science Policy Austria
https://www.bmfwf.gv.at/dam/jcr:80e23dcd-fc4d-4415-917a-5c414037f99f/PDF%20Version%20der%20Open%20Science%20Policy.pdf
(2): Untitled source
https://www.data.gv.at/static/uploads/2024/10/2024_Umfeldanalyse_Datenstrategie_WU-Cbased.pdf
(3): Umfeldanalyse zur österreichischen Datenstrategie - Wien
https://www.data.gv.at/static/uploads/2024/10/2024_Umfeldanalyse_Datenstrategie_WU-Cbased.pdf
(4): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(5): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(6): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(7): Untitled source
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(8): Veröffentlichungsleitfaden
https://www.data.gv.at/static/uploads/2019/04/datagvat-veroeffentlichungsleitfaden_2019.pdf",90.0,sufficient,chroma_retrieval_experiment
Austria,P13,Policy,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model","{'yes': 40, 'no': 0}",yes,40.0,"Yes, Austria has a governance structure enabling participation and inclusion of various open data stakeholders. The formal basis is established in legislation requiring that every federal ministry appoints an Open Data Officer, who acts as a central contact to facilitate the identification, provision, and reuse of open data within their domain. Public bodies with close organizational ties can jointly appoint such officers, promoting coordination across governmental entities. This decentralized governance model ensures stakeholder inclusion by spreading responsibility across ministries and facilitating cross-agency collaboration. Moreover, open data is embedded in broader Open Government and participatory governance frameworks, linking transparency with collaboration and participation phases. Foundational documents describe open data as part of a wider governance redesign, emphasizing interaction with citizens, businesses, and researchers, fostering trust and co-creation. This combined legal and strategic architecture demonstrates Austria’s commitment to multi-stakeholder governance in open data policy.

## Sources
(1): Grünbuch: Partizipation im digitalen Zeitalter
https://oeffentlicherdienst.gv.at/wp-content/uploads/2023/02/201103_Partizipation_Gruenbuch_A4_BF.pdf
(2): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(3): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(4): Untitled source
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(5): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(6): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(7): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(8): BUNDESGESETZBLATT
https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2022_I_116/BGBLA_2022_I_116.pdf",95.0,sufficient,chroma_retrieval_experiment
Austria,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.","{'all public bodies': 20, 'the majority of public bodies': 15, 'approximately half of the public bodies': 10, 'few public bodies': 5, 'none of the public bodies': 0, 'not applicable': 20}",few public bodies,5.0,"Few local and regional public bodies in Austria are currently engaged in open data initiatives. While the federal government mandates the appointment of Open Data officers in each federal ministry and promotes the sharing of data through national platforms like data.gv.at, there is limited evidence of widespread open data practices at the subnational level. The Österreichische Datenstrategie and related frameworks mention initiatives at multiple levels (federal, states, and municipalities), but concrete evidence points to only a limited number of local/regional public bodies actively publishing or managing open data. The focus appears stronger at the federal level, with local/regional efforts less mature or less frequent. Thus, although some municipalities or regions participate in open data efforts, they represent a minority rather than a majority or significant portion.

## Sources
(1): BUNDESGESETZBLATT
https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2022_I_116/BGBLA_2022_I_116.pdf
(2): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(3): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(4): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(5): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(6): Untitled source
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(7): Untitled source
https://www.data.gv.at/static/uploads/2024/10/2024_Umfeldanalyse_Datenstrategie_WU-Cbased.pdf
(8): Umfeldanalyse zur österreichischen Datenstrategie - Wien
https://www.data.gv.at/static/uploads/2024/10/2024_Umfeldanalyse_Datenstrategie_WU-Cbased.pdf",80.0,partial,chroma_retrieval_experiment
