question_id,dimension,indicator,question,response_scoring
I1,Impact,impact_awareness,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.","{'yes': 20, 'no': 0}"
I10,Impact,impact_measuring_reuse,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?","{'yes': 20, 'no': 0, ""i don't know"": 0}"
I11,Impact,impact_measuring_reuse,"Are there any public bodies in your country that have developed a systematic ways of classifying the gathered reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: According to which categories are reuse cases classified (e.g. by policy field)?","{'yes': 20, 'no': 0, ""i don't know"": 0}"
I12,Impact,impact_government,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}"
I13,Impact,impact_government,"Is the use of open data in your country having an impact on the efficiency and effectiveness of the government (at any level) in delivering public services? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I14,Impact,impact_government,"Is the use of open data in your country having an impact on transparency and accountability of public administrations?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I15,Impact,impact_government,"Is the use of open data in your country having an impact on policy-making processes (i.e. are public administrations making use of the data as evidence for the problem identification and policy formulation)? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I16,Impact,impact_government,"Is the use of open data in your country having an impact on decision-making processes (i.e. are public administrations making use of the data as evidence to be included in their daily operations)?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I17,Impact,impact_social,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}"
I18,Impact,impact_social,"Is the use of open data in your country having an impact on society´s ability to reduce inequality and better include minorities, migrants, and/or refugees? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I19,Impact,impact_social,"Is the use of open data in your country having an impact on issues about housing in urban areas? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I2,Impact,impact_awareness,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.","{'yes': 20, 'no': 0, ""i don't know"": 0}"
I20,Impact,impact_social,"Is the use of open data in your country having an impact on the issues of health and wellbeing? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I21,Impact,impact_social,"Is the use of open data in your country having an impact on the society´s level of education and skills (e.g. data literacy)?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I22,Impact,impact_environmental,"Is any data on the impact created by open data on environmental challenges (e.g. climate change and environmental degradation, as highlighted in the European Green Deal) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify (1)  what kind of data source proves this impact and (2) provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}"
I23,Impact,impact_environmental,"Is the use of open data in your country having an impact on the level of protection of biodiversity (e.g. maintaining a good air and water quality)? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I24,Impact,impact_environmental,"Is the use of open data in your country having an impact on the achievement of more environment-friendly cities (e.g., environment-friendly transport systems, waste management etc.)? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I25,Impact,impact_environmental,"Is the use of open data in your country having an impact on the fight against climate change, for example by undertaking predictive monitoring, preventive actions, or a differentiated response to connected disasters?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I26,Impact,impact_environmental,"Is the use of open data in your country having an impact on the consumption of energy based on fuel and the switch to renewables? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I27,Impact,impact_economic,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.","{'yes': 20, 'no': 0, ""i don't know"": 0}"
I28,Impact,impact_economic,"Is the use of open data in your country having an impact on the level of employment? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I29,Impact,impact_economic,"Is the use of open data in your country having an impact on the level of innovation and the adoption of new technologies? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I3,Impact,impact_awareness,"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer.","{'yes': 20, 'no': 0, ""i don't know"": 0}"
I30,Impact,impact_economic,"Is the use of open data in your country having an impact on the level of entrepreneurship (especially of women and minorities) and business creation (especially with Small- and Medium-sized Enterprises)? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I31,Impact,impact_economic,"Is the use of open data in your country having an impact on the level of productivity? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.","{'yes': 15, 'no': 0, ""i don't know"": 0}"
I4,Impact,impact_awareness,"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.","{'yes': 20, 'no': 0, 'not applicable': 20}"
I5,Impact,impact_awareness,"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.","{'yes': 20, 'no': 0}"
I6,Impact,impact_awareness,"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.","{'yes': 20, 'no': 0}"
I7,Impact,impact_awareness,"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.","{'yes': 20, 'no': 0, ""i don't know"": 0}"
I8,Impact,impact_measuring_reuse,"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.","{'yes': 40, 'no': 0, ""i don't know"": 0}"
I8-a,Impact,impact_measuring_reuse,Automated feedback mechanisms tracking users´ access to datasets,"{'yes': 0, 'no': 0}"
I8-b,Impact,impact_measuring_reuse,Surveys,"{'yes': 0, 'no': 0}"
I8-c,Impact,impact_measuring_reuse,Interviews/workshops with reusers,"{'yes': 0, 'no': 0}"
I8-d,Impact,impact_measuring_reuse,Other,"{'yes': 0, 'no': 0}"
I9,Impact,impact_measuring_reuse,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.","{'yes': 40, 'no': 0, ""i don't know"": 0}"
I9-a,Impact,impact_measuring_reuse,Regular feedback sessions with portal users,"{'yes': 0, 'no': 0}"
I9-b,Impact,impact_measuring_reuse,Social media sentiment analysis,"{'yes': 0, 'no': 0}"
