country,question_id,title,url,saved_path,file_type,chunk_id,chunk_index,chunk_text,chunk_length_words,dimension,question,query_no,query
Estonia,I1,Usaldusteenus | Eesti usaldusnimekiri,https://sr.riik.ee/et/usaldusteenus/,debug_estonia_rerun\downloads\I1\doc_1.html,html,Estonia_I1_1,1,"Usaldusteenus | Eesti usaldusnimekiri Eesti English Usaldusteenus Teave Üldine teave usaldusnimekirjade kohta Usaldusnimekirjad on olulised komponendid, mis aitavad luua usaldust e-turul tegutsejate seas, võimaldades kasutajatel kindlaks teha, milline on usaldusteenuse osutajate ja nende teenuste kvalifitseeritud staatus praegu ja milline on see olnud varem. Liikmesriikide usaldusnimekirjad peavad sisaldama vähemalt komisjoni rakendusotsuse (EL) 2015/1505 artiklites 1 ja 2 osutatud teavet. Liikmesriigid võivad lisada usaldusnimekirja teavet kvalifitseerimata usaldusteenuse osutajate ja nende osutatavate kvalifitseerimata usaldusteenuste kohta. Sellisel juhul tuleb selgelt märkida, et need ei ole kvalifitseeritud vastavalt määrusele (EL) nr 910/2014 (muudetud määrusega (EL) 2024/1183 – edaspidi kokkuvõtvalt „eIDAS määrus“). Liikmesriigid võivad lisada usaldusnimekirja teavet muud liiki riigisiseselt kindlaksmääratud usaldusteenuste kohta kui need, mis on määratletud määruse eIDAS määruse artikli 3 lõike 16 alusel. Sellisel juhul tuleb selgelt märkida, et need ei ole kvalifitseeritud vastavalt eIDAS määrusele. Eesti usaldusnimekiri Käesolev nimekiri on usaldusnimekiri, mis sisaldab teavet Eesti järelevalve all olevate usaldusteenuse osutajate kohta ja usaldusteenuste kohta, mida nad osutavad, kooskõlas eIDAS määruse asjaomaste sätetega. EL usaldusnimekirjade lehitseja Teave kõikide EL liikmesriikide usaldusnimekirjade kohta on saadaval aadressil: https://eidas.ec.europa.eu/efda/trust-services/browse/eidas/tls Teave usaldusteenuse pakkujatele Usaldusteenuse osutajad ja usaldusteenused",180,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja
Estonia,I1,Usaldusteenus | Eesti usaldusnimekiri,https://sr.riik.ee/et/usaldusteenus/,debug_estonia_rerun\downloads\I1\doc_1.html,html,Estonia_I1_2,2,"sisaldab teavet Eesti järelevalve all olevate usaldusteenuse osutajate kohta ja usaldusteenuste kohta, mida nad osutavad, kooskõlas eIDAS määruse asjaomaste sätetega. EL usaldusnimekirjade lehitseja Teave kõikide EL liikmesriikide usaldusnimekirjade kohta on saadaval aadressil: https://eidas.ec.europa.eu/efda/trust-services/browse/eidas/tls Teave usaldusteenuse pakkujatele Usaldusteenuse osutajad ja usaldusteenused kantakse Eesti usaldusnimekirja vastavalt järgnevale regulatsioonile: Euroopa Parlamendi ja nõukogu määrus (EL) nr 910/2014 (muudetud määrusega (EL) 2024/1183 – edaspidi kokkuvõtvalt „eIDAS“ määrus) E-identimise ja e-tehingute usaldusteenuste seadus (edaspidi EUTS) Tulenevalt EUTS § 2 täidab eIDAS-s sätestatud järelevalveasutuse ülesandeid Riigi Infosüsteemi Amet . Eesti usaldusnimekirja kandmiseks esitab usaldusteenuse osutaja Riigi Infosüsteemi Ametile iga usaldusteenuse kohta taotluse vormi ja vastavushindamisasutuse koostatud vastavushindamisaruande. Nõuded usaldusteenuse osutaja ja usaldusteenuse vastavushindamise kohta on toodud Majandus- ja taristuministri määruses „ Usaldusteenuse osutaja ja usaldusteenuse vastavushindamise kord “. Riigi Infosüsteemi Amet lahendab taotluse pärast nõuetekohaste andmete ja dokumentide saamist: esmakordse loa taotluse korral 80 päeva jooksul; korduva loa taotluse korral 50 päeva jooksul. Loa väljastamise korral kannab Riigi Infosüsteemi Amet usaldusteenuse osutaja ja usaldusteenuse usaldusnimekirja kümne päeva jooksul. Nõuetele vastav kvalifitseeritud või kvalifitseerimata usaldusteenuse osutaja / usaldusteenus kantakse usaldusnimekirja kaheks aastaks. Lõivud Eesti usaldusnimekirjas tehtavate toimingute",180,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja
Estonia,I1,Usaldusteenus | Eesti usaldusnimekiri,https://sr.riik.ee/et/usaldusteenus/,debug_estonia_rerun\downloads\I1\doc_1.html,html,Estonia_I1_3,3,korduva loa taotluse korral 50 päeva jooksul. Loa väljastamise korral kannab Riigi Infosüsteemi Amet usaldusteenuse osutaja ja usaldusteenuse usaldusnimekirja kümne päeva jooksul. Nõuetele vastav kvalifitseeritud või kvalifitseerimata usaldusteenuse osutaja / usaldusteenus kantakse usaldusnimekirja kaheks aastaks. Lõivud Eesti usaldusnimekirjas tehtavate toimingute eest: Usaldusteenuse esmakordse usaldusnimekirja kandmise eest tasutakse riigilõivu 1030 € iga usaldusteenuse kohta; Usaldusteenuse korduva usaldusnimekirja kandmise eest tasutakse riigilõivu 770 € iga usaldusteenuse kohta; Usaldusteenuse osutaja või teenuste andmete muutmise taotluse läbivaatamise eest tasutakse riigilõivu 65 €. Riigilõivud tuleb tasuda RAHANDUSMINISTEERIUM-i kontole: SEB - a/a EE891010220034796011 Swedbank - EE932200221023778606 Luminor Bank AS - a/a EE701700017001577198 Viitenumber: 2900082948,98,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",1,Avaliku teabe seadus taaskasutus definitsioon Eesti riigiteataja
Estonia,I1,(I) Tegevusjuhend,https://www.e-resident.gov.ee/wp-content/uploads/2024/09/eestikeelne-MP-code-of-conduct_amended_2024-09.docx.pdf,debug_estonia_rerun\downloads\I1\doc_2.pdf,pdf,Estonia_I1_1,1,"E-RESIDENTSUSETURUPLATSI LIIKMETETEGEVUSJUHENDJATURUNDUSEESKIRI E-Residentsus on turvaline digitaalne identiteet, mille Eesti valitsus väljastab inimestelekõikjaltmaailmast ning millega saab digitaalse juurdepääsu usaldusväärsetele, läbipaistvatele e-riigiteenustele ja ettevõtluskeskkonnale. E-Residentsus on riiklik programm, mis tutvustab japropageerib e-Residentsust. E-Residentsust juhib meeskond, mis moodustab Ettevõtluse jaInnovatsiooni SA(EIS) struktuuriüksuse. E-Residentsuse turuplats (edaspidi: turuplats) on platvorm, kuhu on koondatud põhiteave osateenuste kohta, mis on e-residentidele kättesaadavad. E-Residentsuse turuplatsi liikmed(edaspidi: turuplatsi liikmed) valib e-Residentsuse meeskond, kes teeb põhjalikutaustakontrolli, et selgitada välja, kas nad osutavad kvaliteetseid teenuseid ja kas neil onlaitmatumaine. Turuplatsi tegevusjuhendis on määratud turuplatsi liikmete õiged käitumistavad. Selletegevusjuhendi eesmärk on tagada, et e-residendid saavad parimaid teenuseid ja nõuandeidning vältida e-Residentsuse mainekahju. Turunduseeskirjas on esitatud turuplatsi liikmetelemõeldud juhised selle kohta, kuidas kasutada e-Residentsuse kaubamärki õigesti javastutustundlikult ning tagada programmi põhiteabe edastamisel nii täpsus kui ka järjepidevus.See ei ole aga mõeldud selleks, et takistada turuplatsi liikmetel jagada programmi kohta omavaateidvõi kujundadaomasuhtlusstiili. Allkirjastades selle tegevusjuhendi ja turunduseeskirja kinnitab teenusepakkuja, et on juhisedläbi lugenudjaneist arusaanudningkohustubneidjärgima. Tegevusjuhendi jaturunduseeskirjaallkirjastamine on turuplatsi liikmeks saamise eeldus. Nende juhiste oluline rikkumine võiblõppedaturuplatsi liikmeliikmelisusepeatamisevõi tühistamisega. Turuplatsi liikmete tagasiside on alati teretulnud, et saaksime tegevusjuhendit jaturunduseeskirjakõigi pooltehuvidespidevalt parandada. (I) Tegevusjuhend Kõrgetasemelineasjatundlikkusjateenusekvaliteet 1.1",180,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",2,avaliku sektori teabe taaskasutuse määratlus Eesti õigusaktid
Estonia,I1,(I) Tegevusjuhend,https://www.e-resident.gov.ee/wp-content/uploads/2024/09/eestikeelne-MP-code-of-conduct_amended_2024-09.docx.pdf,debug_estonia_rerun\downloads\I1\doc_2.pdf,pdf,Estonia_I1_2,2,"tegevusjuhendi ja turunduseeskirja kinnitab teenusepakkuja, et on juhisedläbi lugenudjaneist arusaanudningkohustubneidjärgima. Tegevusjuhendi jaturunduseeskirjaallkirjastamine on turuplatsi liikmeks saamise eeldus. Nende juhiste oluline rikkumine võiblõppedaturuplatsi liikmeliikmelisusepeatamisevõi tühistamisega. Turuplatsi liikmete tagasiside on alati teretulnud, et saaksime tegevusjuhendit jaturunduseeskirjakõigi pooltehuvidespidevalt parandada. (I) Tegevusjuhend Kõrgetasemelineasjatundlikkusjateenusekvaliteet 1.1 Turuplatsi liikmed on kohustatud pakkuma e-residentidele ja nende äriühingutele parimatteenust janõu.1.2 Turuplatsi liikmed vastavad e-residentide päringutele õigel ajal, hiljemalt kolme tööpäevajooksul.1.3 Turuplatsi liikmed loovad e-residentidele selged väärtuspakkumised ja kohandatudteenused ning esitlevad neid teenuseid oma veebisaidil ja muudes kanalites. Veebisaidil,sotsiaalmeedias ja turuplatsil esitatud teave on selge, ühemõtteline ja keeleliselt lihtsastimõistetav. 1.4 Turuplatsi liikmed annavad klientidelejärgmisekohtaõiget jaseaduslikkuteavet ningnõu:e-Residentsus ja selle taotlemine, e-residentideõigusedjakohustused, äriühinguloomineja juhtimine Eestis, Eesti õigus- ja maksusüsteem, Eesti äriühingute ja e-residentide kuieraisikute maksukohustused jne. Turuplatsi liikmed juhendavad e-residente ja nendeäriühinguid järgima Eesti õigusakte ning täitma oma juriidilisi kohustusi, nt kohustustesitada aastaaruanded, esitada äriregistrile teavet tegelike kasusaajate kohta,deklareeridajamakstamaksejne.1.5 Turuplatsi liikmed peavad suutma tõestada, et neil one-Residentsuseprogrammi kohtajae-residente puudutavates või mõjutavates küsimustes laialdased teadmised. Turuplatsiliikmed hoiavad end e-Residentsuse peamiste uuendustega kursis. Nad osalevade-Residentsuse meeskonna korraldatud koosolekutel, ajurünnakutel, uuringutes jaideekogumistel ningjälgivadajakohaseteabesaamisekse-Residentsusesuhtluskanaleid.1.6 Igal turuplatsi liikmel on oma pädevusvaldkond, mis on kasulik ka e-Residentsuseülejäänud kogukonnale.",180,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",2,avaliku sektori teabe taaskasutuse määratlus Eesti õigusaktid
Estonia,I1,(I) Tegevusjuhend,https://www.e-resident.gov.ee/wp-content/uploads/2024/09/eestikeelne-MP-code-of-conduct_amended_2024-09.docx.pdf,debug_estonia_rerun\downloads\I1\doc_2.pdf,pdf,Estonia_I1_3,3,"suutma tõestada, et neil one-Residentsuseprogrammi kohtajae-residente puudutavates või mõjutavates küsimustes laialdased teadmised. Turuplatsiliikmed hoiavad end e-Residentsuse peamiste uuendustega kursis. Nad osalevade-Residentsuse meeskonna korraldatud koosolekutel, ajurünnakutel, uuringutes jaideekogumistel ningjälgivadajakohaseteabesaamisekse-Residentsusesuhtluskanaleid.1.6 Igal turuplatsi liikmel on oma pädevusvaldkond, mis on kasulik ka e-Residentsuseülejäänud kogukonnale. Seegajulgustatakseliikmeidsuhtlemae-residentidegaavalikult janäitama nõu andes oma pädevust. E-Residentsuse meeskond suhtleb kogukonnagaregulaarselt, kuid avalikusektori organisatsiooninaonprogrammi ärinõustamisvõimalusedpiiratud.1.7 Turuplatsi liikmed teavitavad e-Residentsuse meeskonda viivitamata e-residentideteenindamisega seotud raskustest (rahalised raskused, klienditoe vahendite nappus,oluliste partnerite või nõustajate ootamatu kaotus, vajalike lubade aegumine võitühistaminejne).1.8 Kui e-residendist klient esitab otse turuplatsi liikmele või e-Residentsuse meeskonnalekaebuse, peab turuplatsi liige käsitlema neid nõuetekohase hoolsusega ning andmavajalikud vastused kiiresti ja täpselt. Kui e-Residentsuse meeskond on ühe aasta jooksulsaanud turuplatsi liikme kohta kolmvõi enamõigustatud kaebust (või kakskaebust pooleaastajooksul), võidakseliikmelisuspeatadavõi tühistada.1.9 Turuplatsi liikmega seotud mistahes kaebuste või murede korral tagab e-Residentsusemeeskond, et enne liikmelisuse peatamis- või tühistamisotsuse tegemist saab turuplatsiliigeandaomakommentaaridjaselgitused.1.10 Kui turuplatsi liige rikub selles tegevusjuhendis või muudes kohaldatavates õigusaktidessätestatud mistahes nõudeid või jagab valeandmeid, teeb ta kõik endast oleneva, etrikkumineviivitamataheastada.1.11 Turuplatsi liikmed nõustuvad, et e-Residentsuse meeskond kontrollib regulaarselt nendevastavust liikmeks saamise nõuete, tegevusjuhendi ja turunduseeskirjaga. Selleks võibe-Residentsusemeeskondtehakontrollostevõi kasutadamuidmeetodeid.1.12 Nõueterikkumisekorral võidakseturuplatsi liikmeliikmelisuspeatadavõi tühistada.",180,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",2,avaliku sektori teabe taaskasutuse määratlus Eesti õigusaktid
Estonia,I1,(I) Tegevusjuhend,https://www.e-resident.gov.ee/wp-content/uploads/2024/09/eestikeelne-MP-code-of-conduct_amended_2024-09.docx.pdf,debug_estonia_rerun\downloads\I1\doc_2.pdf,pdf,Estonia_I1_4,4,"rikub selles tegevusjuhendis või muudes kohaldatavates õigusaktidessätestatud mistahes nõudeid või jagab valeandmeid, teeb ta kõik endast oleneva, etrikkumineviivitamataheastada.1.11 Turuplatsi liikmed nõustuvad, et e-Residentsuse meeskond kontrollib regulaarselt nendevastavust liikmeks saamise nõuete, tegevusjuhendi ja turunduseeskirjaga. Selleks võibe-Residentsusemeeskondtehakontrollostevõi kasutadamuidmeetodeid.1.12 Nõueterikkumisekorral võidakseturuplatsi liikmeliikmelisuspeatadavõi tühistada. Seaduslikjaeetilineärikäitumine 1.13 Turuplatsi liikmed osutavad ainult neid teenuseid, milles nad on pädevad ja mida neil onlubatud osutada. Turuplatsi liikmed tagavad, et neil on loakohustusega teenuste (ntfinantsteenuste, usaldus- ja äriteenuste jne) osutamiseks kehtiv tegevusluba. Kui turuplatsi liikme tegevusluba on peatatud, tühistatud või aegunud, peab ta selle teenuseosutamisekohelõpetamajateavitamasellest viivitamatae-Residentsusemeeskonda.1.14 Turuplatsi liikmed teevad kõik endast oleneva, et anda e-residentidele ja nendeäriühingutele täpset ja seaduslikku teavet ning väldivad nõustamist teemadel, milles nadei ole pädevad. Ühtlasi eeldatakse, et turuplatsi liikmedloovadomavahel usaldusväärsetepartnerite võrgustiku, kedasaakse-residentidelenendepädevusvaldkondamittekuuluvateteemadekorral soovitada.1.15 Turuplatsi liikmed järgivad kõiki asjakohaseid rahapesuvastaseid eeskirju. Turuplatsiliikmed, kes on rahapesu ja terrorismi rahastamise tõkestamise seaduse järgi kohustatudisikud (nt finantseerimisasutused, raamatupidamisteenuste osutajad, äriteenusteosutajadjne) peavad nõuetekohaselt täitma asjakohaseidkohustusi, näitekstegemariskihinnangu,kehtestama protseduurireeglid, millega maandatakse ja juhitakse tõhusalt rahapesu jaterrorismi rahastamisega seotud riske, määrama juhatuseliikme, kes vastutabrahapesuvastaste eeskirjade rakendamise eest jne. Turuplatsi liikmed rakendavade-residendiga kliendisuhte loomise ja kliendisuhte ajal asjakohaseid hoolsusmeetmeid,näitekskliendi isikusamasusekontrollimine, ärisuhtest arusaaminejaärisuhteseirejne.1.16 Turuplatsi",180,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",2,avaliku sektori teabe taaskasutuse määratlus Eesti õigusaktid
Estonia,I1,(I) Tegevusjuhend,https://www.e-resident.gov.ee/wp-content/uploads/2024/09/eestikeelne-MP-code-of-conduct_amended_2024-09.docx.pdf,debug_estonia_rerun\downloads\I1\doc_2.pdf,pdf,Estonia_I1_5,5,"osutajad, äriteenusteosutajadjne) peavad nõuetekohaselt täitma asjakohaseidkohustusi, näitekstegemariskihinnangu,kehtestama protseduurireeglid, millega maandatakse ja juhitakse tõhusalt rahapesu jaterrorismi rahastamisega seotud riske, määrama juhatuseliikme, kes vastutabrahapesuvastaste eeskirjade rakendamise eest jne. Turuplatsi liikmed rakendavade-residendiga kliendisuhte loomise ja kliendisuhte ajal asjakohaseid hoolsusmeetmeid,näitekskliendi isikusamasusekontrollimine, ärisuhtest arusaaminejaärisuhteseirejne.1.16 Turuplatsi liikmed järgivad kõiki asjakohaseid isikuandmete kaitset käsitlevaid õigusakte.Nadkäsitlevadkõiki kliendiandmeidhoolikalt jakohaldatavateõigusnormidekohaselt.1.17 Turuplatsi liikmed kannavad hoolt oma hea maine eest nii veebis kui ka väljaspool ja onteadlikud, et e-Residentsusemeeskondjälgibregulaarselt nendemainet.1.18 Turuplatsi liikmed ei laima egahalvustaavalikult omakliente, konkurente, e-Residentsuseprogrammi ega mõnda muud sidusrühma e-Residentsusekogukonnas. Kaebused, kriitikaja soovitused edastatakse klientidele, e-Residentsuse meeskonnale või muuleasjakohaselesidusrühmaleotsejasobival viisil, et leidaparimjakiireimlahendus.1.19 Turuplatsi liikmed võivad võrrelda enda ja teiste teenuseid ning tuua välja eelised japuudused, kuid esitada ei tohi valesid väiteid, mis kahjustavad e-Residentsusekogukonda. Kahtlustekorral küsivadturuplatsi liikmednõue-Residentsusemeeskonnalt.1.20 Turuplatsi liige eemaldatakse turuplatsilt, kui turuplatsi liikme või tema haldusnõukogu,juhatuse või nõukogu mistahes liikme, tegeliku kasusaaja või muu seadusliku esindajasuhtes, kes on seotud e-Residentsuse programmiga, on langetatud lõplik süüdimõistevkohtuotsus: (1) kuritegelikus grupeeringus osalemise, aususe kohustuse rikkumise,korruptsiooni, pettuse, rahapesu, terrorismi rahastamise, terrorikuriteovõi muuterroristlikutegevusegaseotudkuriteovõi mistahessellisekuriteoõhutamise, kaasaaitamisevõi katseeest; (2) selle eest, et ta on võimaldanud ebaseaduslikult riigis viibival välismaalaseltöötada või võimaldanud rikkuda tingimusi, mis kehtivad",180,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",2,avaliku sektori teabe taaskasutuse määratlus Eesti õigusaktid
Estonia,I1,(I) Tegevusjuhend,https://www.e-resident.gov.ee/wp-content/uploads/2024/09/eestikeelne-MP-code-of-conduct_amended_2024-09.docx.pdf,debug_estonia_rerun\downloads\I1\doc_2.pdf,pdf,Estonia_I1_6,6,"seotud e-Residentsuse programmiga, on langetatud lõplik süüdimõistevkohtuotsus: (1) kuritegelikus grupeeringus osalemise, aususe kohustuse rikkumise,korruptsiooni, pettuse, rahapesu, terrorismi rahastamise, terrorikuriteovõi muuterroristlikutegevusegaseotudkuriteovõi mistahessellisekuriteoõhutamise, kaasaaitamisevõi katseeest; (2) selle eest, et ta on võimaldanud ebaseaduslikult riigis viibival välismaalaseltöötada või võimaldanud rikkuda tingimusi, mis kehtivad Eestis töötavale välismaalasele,sealhulgas töötasu maksmine alla seadusjärgse määra; (3) ebaseadusliku lapstööjõukasutamise või muu inimkaubanduse vormi eest; (4) maksukuriteo või majandusalasesüüteo eest; (5) varavastase kuriteo eest; (6) riigivastase kuriteo eest; (7) avalikuusaldusevastasekuriteoeest või (8) mistahesmuutahtlikult sooritatudkuriteoeest.1.21 Turuplatsi liikmed ei tohi oma klientidele anda eksitavat, valet või ebaeetilist teavet eganõu, sealhulgas: a) lubadusi, et Eesti Politsei- ja Piirivalveamet väljastab kindlale inimeselee-Residentsuse;b) lubadusi kindla e-residendi võimalustest saada Eesti viisa, elamisluba võikodakondsus;c) lubadusi ärikonto avamise kohta pangas (välja arvatud juhul, kui see on osateenusepakkujateenusest või kui teenusepakkujaonpank).1.22 Turuplatsi liikmed ei tohi omaklientideleosutadaebaseaduslikkevõi ebaeetilisi teenuseid,sealhulgas:a) varidirektorite või -aktsionäridega seotud teenuseid (või sarnaseidjuhtimisteenuseid), mille eesmärk on varjata äriühingu tegelikke juhatajaid võikasusaajaid;b) võltsitudkommunaalarveidaadressi tõestamiseks;c) teenuseid, milleeesmärkonvältidamaksudemaksmist Eestisvõi muudesriikides.1.23 Turuplatsi liikmed kutsuvad kliente üles järgima seadusi ega aita neid teadlikultebaseaduslikes tegudes. Kui turuplatsi liige tuvastab tegevuse või teabe, mille tunnusedosutavad kuritegelikust tegevusest saadud tulu kasutamisele, terrorismi rahastamisele,sellega seotud",180,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",2,avaliku sektori teabe taaskasutuse määratlus Eesti õigusaktid
Estonia,I1,(I) Tegevusjuhend,https://www.e-resident.gov.ee/wp-content/uploads/2024/09/eestikeelne-MP-code-of-conduct_amended_2024-09.docx.pdf,debug_estonia_rerun\downloads\I1\doc_2.pdf,pdf,Estonia_I1_7,7,"varjata äriühingu tegelikke juhatajaid võikasusaajaid;b) võltsitudkommunaalarveidaadressi tõestamiseks;c) teenuseid, milleeesmärkonvältidamaksudemaksmist Eestisvõi muudesriikides.1.23 Turuplatsi liikmed kutsuvad kliente üles järgima seadusi ega aita neid teadlikultebaseaduslikes tegudes. Kui turuplatsi liige tuvastab tegevuse või teabe, mille tunnusedosutavad kuritegelikust tegevusest saadud tulu kasutamisele, terrorismi rahastamisele,sellega seotud kuritegude toimepanemisele või sellisetegevusekatselevõi millepuhul talon kahtlus või ta teab, et tegemist on rahapesu või terrorismi rahastamisega või sellegaseotud kuritegude toimepanemisega, on turuplatsi liige kohustatud sellest viivitamatateatama asukohariigi (milles turuplatsi liikmest ettevõte on registreeritud) rahapesuandmebüroole. Kui turuplatsi liige on teenuste osutamise käigus saanud teavet, mis võibolla e-residendi digi-ID tühistamise või peatamise alus (nt põhjus kahelda e-residenditegelikus isikus), peab ta selle teabe edastama Politsei- ja Piirivalveametile aadressileresident@politsei.ee.1.24 Turuplatsi liikmed maksavadmaksejaesitavadaastaaruandednõuetekohaselt. Turuplatsiliige, kellel on pidev maksuvõlg või kes ei ole esitanud aastaaruandeid, võidakseturuplatsilt eemaldada, kuni sellised puudused on kõrvaldatud. Kui turuplatsi liige ei oleEesti äriühing, võidakse riigist, mille registrisse ta on kantud, regulaarselt nõuda tõestustheafinantskäitumisekohta(maksukohustuslasetõendvms).1.25 Turuplatsi liikmed teevad e-Residentsuse meeskonnaga koostööd ja suhtlevadmeeskonnagasobival viisil, vältidesebasobivat või ebaviisakat käitumist. Turuplatsi arvustussüsteemi eetilinekasutamine 1.26 Turuplatsi liikmed julgustavad üksnes neid isikuid esitama turuplatsi arvustussüsteemiteenuste arvustusi ja hinnanguid, kes on tegelikult kasutanud või püüdnud kasutadaasjaomase turuplatsi",180,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",2,avaliku sektori teabe taaskasutuse määratlus Eesti õigusaktid
