country,question_id,question,answer_2024,explanation_2024,review_note,updated_answer,updated_explanation,final_answer,final_explanation,dimension,response_scoring,awarded_score
Austria,I1,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",yes,"Stipulated in the Austrian Framework for Open Government Platforms and the White Paper of the Cooperation OGD Austria, referring to the Open Principles and the Creative Commons Licence CC-BY 4.0. (https://www.data.gv.at/anleitung)

response to reviewers:
In Austria, the definition of open data reuse is stipulated in the Austrian Framework for Open Government Platforms and the White Paper of the Cooperation OGD Austria. It refers to the Open Principles and the Creative Commons Licence CC-BY 4.0. Specifically, open data reuse is defined as the use of data that is freely available to everyone to use, modify, and share for any purpose—subject to the terms specified under the Creative Commons Licence CC-BY 4.0. (Source: data.gv.at)",Confirm,,,yes,"Stipulated in the Austrian Framework for Open Government Platforms and the White Paper of the Cooperation OGD Austria, referring to the Open Principles and the Creative Commons Licence CC-BY 4.0. (https://www.data.gv.at/anleitung)

response to reviewers:
In Austria, the definition of open data reuse is stipulated in the Austrian Framework for Open Government Platforms and the White Paper of the Cooperation OGD Austria. It refers to the Open Principles and the Creative Commons Licence CC-BY 4.0. Specifically, open data reuse is defined as the use of data that is freely available to everyone to use, modify, and share for any purpose—subject to the terms specified under the Creative Commons Licence CC-BY 4.0. (Source: data.gv.at)",Impact,"{'yes': 20, 'no': 0}",20.0
Austria,I10,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",yes,Data.gv.at is gathering info about the creation of apps on the basis of provided open data. This is being performed for the whole of Austria. Source: https://www.data.gv.at/suche/?typeFilter%5B%5D=application,Confirm,,,yes,Data.gv.at is gathering info about the creation of apps on the basis of provided open data. This is being performed for the whole of Austria. Source: https://www.data.gv.at/suche/?typeFilter%5B%5D=application,Impact,"{'yes': 20, 'no': 0, ""i don't know"": 0}",20.0
Austria,I12,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",yes,"o) a study was performed on the effect of data accessibility and data sources on trust levels: Austrian open data like the punctuality of public transport, number of infrstructural defects per day, average rent in €/m2 was used in the study. It ws shown that open data is a catalyst for citizen trust and public performance information. Impact study link: https://www.researchgate.net/publication/366747566_Trust_in_Public_Performance_Information_The_Effect_of_Data_Accessibility_and_Data_Source",Confirm,,,yes,"o) a study was performed on the effect of data accessibility and data sources on trust levels: Austrian open data like the punctuality of public transport, number of infrstructural defects per day, average rent in €/m2 was used in the study. It ws shown that open data is a catalyst for citizen trust and public performance information. Impact study link: https://www.researchgate.net/publication/366747566_Trust_in_Public_Performance_Information_The_Effect_of_Data_Accessibility_and_Data_Source",Impact,"{'yes': 20, 'no': 0, ""i don't know"": 0}",20.0
Austria,I17,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",no,The project AUTO-WELF investigates the extensive implementation of automated decision-making (ADM) in the welfare sector. (https://www.oeaw.ac.at/en/ita/projects/auto-welf),Change,No,"Consultation round: The AUTO-WELF project investigates the extensive implementation of automated decision-making (ADM) in welfare provision across eight European countries. It analyzes how data-based infrastructures and ADM systems affect citizens, public management, and welfare provision, considering issues like transparency, systemic biases, and social inequalities. However, its public materials focus on qualitative research, ethical/political implications, and stakeholder perspectives rather than providing quantitative metrics or direct assessments regarding the reuse of open data. Other sources that quanitify the impact of open data are unknown to us at the moment. 
===
The project AUTO-WELF investigates the extensive implementation of automated decision-making (ADM) in the welfare sector based on qualitative data. (https://www.oeaw.ac.at/en/ita/projects/auto-welf)",No,"Consultation round: The AUTO-WELF project investigates the extensive implementation of automated decision-making (ADM) in welfare provision across eight European countries. It analyzes how data-based infrastructures and ADM systems affect citizens, public management, and welfare provision, considering issues like transparency, systemic biases, and social inequalities. However, its public materials focus on qualitative research, ethical/political implications, and stakeholder perspectives rather than providing quantitative metrics or direct assessments regarding the reuse of open data. Other sources that quanitify the impact of open data are unknown to us at the moment. 
===
The project AUTO-WELF investigates the extensive implementation of automated decision-making (ADM) in the welfare sector based on qualitative data. (https://www.oeaw.ac.at/en/ita/projects/auto-welf)",Impact,"{'yes': 20, 'no': 0, ""i don't know"": 0}",0.0
Austria,I2,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",yes,"o The reuse of open government data is being monitored systematically by the number of visitors, downloads, and re-use, through the list of applications on the Austrian Data Portal and by using the web analytics tool Matomo provided by the national data portal: https://www.data.gv.at/application/ 
o In 2021, an online survey among users of the national portal has been performed: https://www.data.gv.at/2021/01/20/umfrage-gestartet/
o The City of Vienna performs incremental monitoring and quality checks through its Data Excellence Strategy (circular view on data provision and feedback).",Confirm,,,yes,"o The reuse of open government data is being monitored systematically by the number of visitors, downloads, and re-use, through the list of applications on the Austrian Data Portal and by using the web analytics tool Matomo provided by the national data portal: https://www.data.gv.at/application/ 
o In 2021, an online survey among users of the national portal has been performed: https://www.data.gv.at/2021/01/20/umfrage-gestartet/
o The City of Vienna performs incremental monitoring and quality checks through its Data Excellence Strategy (circular view on data provision and feedback).",Impact,"{'yes': 20, 'no': 0, ""i don't know"": 0}",20.0
Austria,I27,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.",yes,"Open Data is a key resource for the development of the digital economy and knowledge society, in particular for SMEs and startups which are the backbone of Austria's economy. There is an abundance of examples on how the re-use of open data has contributed to innovative solutions.
o In this regard, please see the overview of applications that have been created by using open government data. https://www.data.gv.at/application/",Confirm,,,yes,"Open Data is a key resource for the development of the digital economy and knowledge society, in particular for SMEs and startups which are the backbone of Austria's economy. There is an abundance of examples on how the re-use of open data has contributed to innovative solutions.
o In this regard, please see the overview of applications that have been created by using open government data. https://www.data.gv.at/application/",Impact,"{'yes': 20, 'no': 0, ""i don't know"": 0}",20.0
Austria,I9,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.",yes,,Confirm,,,yes,,Impact,"{'yes': 40, 'no': 0, ""i don't know"": 0}",40.0
Austria,P1,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",yes,"2024:
o Basis: Federal Act on the Re-Use of Public Sector Information 2022 (Informationsweiterverwendungsgesetz – IWG 2022). https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20011973
o Responsible authority for the implementation of the Open Data Directive 2019/1024 & IWG 2022: Federal Ministry of Labour and Economy (BMAW) (possible change after the federal elections in 2024)
o Responsible authority for the national data portal: Federal Chancellery of Austria (BKA)
o Austrian Digital Action Plan (https://www.digitalaustria.gv.at/Strategien/Digitaler-Aktionsplan.html) of the Federal Chancellery of Austria (BKA)
o The Cooperation Open Government Data (OGD) Austria perpetuates open data governance at all levels (federal-regional-local) within the Austrian public sector
(https://www.data.gv.at/infos/cooperation-ogd-austria/)
2023:
o Basis: Federal Act on the Re-Use of Public Sector Information 2022 (Informationsweiterverwendungsgesetz – IWG 2022). https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20011973
o Responsible authority for the implementation of the Open Data Directive 2019/1024 & IWG: Federal Ministry of Labour and Economy (BMAW) (https://www.bmaw.gv.at/Themen/Europa/Wettbewerbspolitik/Open-Data.html)
o Responsible authority for the national data portal: Federal Ministry of Finance (BMF)
o Austrian Digital Action Plan (https://www.digitalaustria.gv.at/Strategien/Digitaler-Aktionsplan.html) of the Federal Ministry of Finance (BMF)
o The Cooperation Open Government Data (OGD) Austria perpetuates open data governance at all levels (federal-regional-local) within the Austrian public sector
(https://www.data.gv.at/infos/cooperation-ogd-austria/)",Complement,Yes,"o Basis: Federal Act on the Re-Use of Public Sector Information 2022 (Informationsweiterverwendungsgesetz – IWG 2022). https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20011973
o Responsible authority for the implementation of the Open Data Directive 2019/1024 & IWG 2022: Federal Chancellery of Austria (BKA)
o Responsible authority for the national data portal: Federal Chancellery of Austria (BKA)
o The Cooperation Open Government Data (OGD) Austria perpetuates open data governance at all levels (federal-regional-local) within the Austrian public sector
(https://www.data.gv.at/infos/cooperation-ogd-austria/)",Yes,"o Basis: Federal Act on the Re-Use of Public Sector Information 2022 (Informationsweiterverwendungsgesetz – IWG 2022). https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20011973
o Responsible authority for the implementation of the Open Data Directive 2019/1024 & IWG 2022: Federal Chancellery of Austria (BKA)
o Responsible authority for the national data portal: Federal Chancellery of Austria (BKA)
o The Cooperation Open Government Data (OGD) Austria perpetuates open data governance at all levels (federal-regional-local) within the Austrian public sector
(https://www.data.gv.at/infos/cooperation-ogd-austria/)",Policy,"{'yes': 40, 'no': 0, 'other': 40}",40.0
Austria,P13,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model",yes,"o The Cooperation OGD Austria represents the essential governance structure in Austria, including the federal level, states, cities and municipalities. 
o The open data portal data.gv.at is a cooperation project of the Federal Chancellery of Austria (BKA) and the nine federal states with a steering committee and an expert group (cooperation agreement: https://www.data.gv.at/wp-content/uploads/2021/09/data.gv_.at_Kooperationsvereinbarung.pdf)
o The Federal Ministry of Labour and Economy is responsible for the implementation of the Federal Law on the Re-Use of Information (IWG), including the Implementing Regulation (EU) 2023/138 on high value datasets.",Complement,Yes,"o The Cooperation OGD Austria represents the essential governance structure in Austria, including the federal level, states, cities and municipalities. 
o The open data portal data.gv.at is a cooperation project of the Federal Chancellery of Austria (BKA) and the nine federal states with a steering committee and an expert group (cooperation agreement: https://www.data.gv.at/wp-content/uploads/2021/09/data.gv_.at_Kooperationsvereinbarung.pdf)
o The Federal Chancellery is responsible for the implementation of the Federal Law on the Re-Use of Information (IWG), including the Implementing Regulation (EU) 2023/138 on high value datasets.",Yes,"o The Cooperation OGD Austria represents the essential governance structure in Austria, including the federal level, states, cities and municipalities. 
o The open data portal data.gv.at is a cooperation project of the Federal Chancellery of Austria (BKA) and the nine federal states with a steering committee and an expert group (cooperation agreement: https://www.data.gv.at/wp-content/uploads/2021/09/data.gv_.at_Kooperationsvereinbarung.pdf)
o The Federal Chancellery is responsible for the implementation of the Federal Law on the Re-Use of Information (IWG), including the Implementing Regulation (EU) 2023/138 on high value datasets.",Policy,"{'yes': 40, 'no': 0}",40.0
Austria,P16,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",the majority of public bodies,"All metadata of regional / local public bodies are published on data.gv.at > more than 1,400 organizations",Confirm,,,the majority of public bodies,"All metadata of regional / local public bodies are published on data.gv.at > more than 1,400 organizations",Policy,"{'all public bodies': 20, 'the majority of public bodies': 15, 'approximately half of the public bodies': 10, 'few public bodies': 5, 'none of the public bodies': 0, 'not applicable': 20}",15.0
Austria,P2,"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.",yes,"o The Austrian open data policy “Framework for Open Government Data platforms” initated by the Cooperation OGD Austria sets out a framework consisting of legal, technical and organizational requirements to be adhered to when providing public, non-personalized data. Proper alignment with these key elements should foster a smooth transition from traditional government structures to a government 2.0, where transparency, participation and collaboration are of paramount priority.
URL: https://go.gv.at/ogdframeen 
o The Chief Digital Officers have adopted a white paper on introducing a national open data strategy.
o The Austrian Digital Action Plan (2020) contains a dedicated action plan on data, including open data (https://www.digitalaustria.gv.at/digitalisierungsbericht.html)",Complement,Yes,"o The Austrian open data policy “Framework for Open Government Data platforms” initated by the Cooperation OGD Austria sets out a framework consisting of legal, technical and organizational requirements to be adhered to when providing public, non-personalized data. Proper alignment with these key elements should foster a smooth transition from traditional government structures to a government 2.0, where transparency, participation and collaboration are of paramount priority.
URL: https://go.gv.at/ogdframeen 
o The Austrian Digital Action Plan on Data (2020) contains a dedicated action plan on data, including open data (https://www.digitalaustria.gv.at/Strategien/Digitaler-Aktionsplan.html)
o The Data Strategy for Austria (2024) contains 45 measures to boost the re-use of data. Amongst those measures, an opn data strategy should be developed (https://www.digitalaustria.gv.at/Strategien/Datenstrategie.html)",Yes,"o The Austrian open data policy “Framework for Open Government Data platforms” initated by the Cooperation OGD Austria sets out a framework consisting of legal, technical and organizational requirements to be adhered to when providing public, non-personalized data. Proper alignment with these key elements should foster a smooth transition from traditional government structures to a government 2.0, where transparency, participation and collaboration are of paramount priority.
URL: https://go.gv.at/ogdframeen 
o The Austrian Digital Action Plan on Data (2020) contains a dedicated action plan on data, including open data (https://www.digitalaustria.gv.at/Strategien/Digitaler-Aktionsplan.html)
o The Data Strategy for Austria (2024) contains 45 measures to boost the re-use of data. Amongst those measures, an opn data strategy should be developed (https://www.digitalaustria.gv.at/Strategien/Datenstrategie.html)",Policy,"{'yes': 40, 'no': 0, 'not applicable': 40}",40.0
