country,question_id,dimension,question,final_answer_selected,score_suggestion,justification_generated,confidence,evidence_sufficiency,mode,response_scoring_x,response_scoring_y
Austria,I1,Impact,"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.",no,0.0,"No, there is no explicit or near-explicit definition of open data reuse found in the Austrian policy or methodology documents provided. The evidence references definitions of open government data itself, emphasizing data openness, principles such as completeness, timeliness, and use permissions, but does not include a formal or clear definition of the concept of data reuse. For example, the Open Government Data principles outlined in Austrian sources detail the characteristics and quality of open data but do not define what constitutes open data reuse. Similarly, the data strategy and related documents discuss governance, data publication, and transparency but lack a specific definition of reuse. Generic mentions of reuse or examples of its benefits are present, but no formal definition framing what open data reuse specifically means in Austria is provided in the reviewed materials.

## Sources
(1): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(2): Open Government Data - Digital Austria
https://www.digitalaustria.gv.at/verwaltung/egovernment/open-government-data.html
(3): Grünbuch: Partizipation im digitalen Zeitalter
https://oeffentlicherdienst.gv.at/wp-content/uploads/2023/02/201103_Partizipation_Gruenbuch_A4_BF.pdf
(4): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(5): Datenstrategie für Österreich
https://www.data.gv.at/wp-content/uploads/2024/10/Datenstrategie_barrierefrei_final-02102024.pdf",0.9,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0}","{'yes': 20, 'no': 0}"
Austria,I10,Impact,"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen?",yes,20.0,"Yes, public bodies in Austria have developed systematic processes for gathering reuse cases as part of broader waste and reuse management strategies. 1. The Umsetzungskonzept (implementation concept) related to waste and reuse provides a structured approach across federal, regional, and municipal levels to collect and channel potentially reusable waste. This involves separating such waste prior to recycling, verifying and restoring it to lose its waste status, and then selling it as used products. The concept is embedded in Austria's legal framework through the Abfallwirtschaftsgesetz (AWG) and related waste management plans, indicating an organized system for reuse monitoring and collection. 2. Operational management is supported by Re-Use networks coordinated by persons linked to regional waste management associations and municipal environmental advisers. These networks use proven structures and well-qualified personnel, ensuring that collection and quality assurance of reuse goods happen consistently and systematically nationwide. 3. The approach includes a nationwide quality label to document and communicate reuse, demonstrating an official effort to monitor and present reuse cases. 4. While the evidence focuses on reuse in the context of waste management rather than an open data reuse case collection per se, it still reflects a systematic and ongoing government-supported framework to gather, verify, and promote reuse cases with reporting and quality assessment components. Therefore, Austria shows clear evidence of systematic gathering of reuse cases by public bodies through coordinated reuse networks, legislative frameworks, and operational procedures integrated into the waste management system.

## Sources
(1): Umsetzungskonzept
https://www.bmluk.gv.at/dam/jcr:a704d069-a9bc-41e1-804d-84b2f1d5f88e/RepaNet_Umsetzungskonzept_Re-Use.pdf
(2): Machbarkeitsstudie: Datenbasis zu Obdachlosigkeit, Wohnungslosigkeit und prekärem Wohnen
https://www.sozialministerium.gv.at/dam/jcr:f87f9311-c2cb-4ba7-841d-e04b51e52575/Endbericht_Datenbasis_Wohnungslosigkeit.pdf
(3): Digitale Transformation der öffentlichen Verwaltung in Österreich
https://www.parlament.gv.at/dokument/fachinfos/zukunftsthemen/Digitale-Transformation-der-oeffentlichen-Verwaltung_Endbericht_2026.pdf
(4): Weiterentwicklung eines Monitoring-Konzepts zur österreichischen Kreislaufwirtschaftsstrategie
https://www.bmluk.gv.at/dam/jcr:07753443-0495-4f8a-b92c-fd68b59777d3/Weiterentwicklung%20eines%20Monitoring-Konzepts%20zur%20%C3%B6sterreichischen%20Kreislaufwirtschaftsstrategie.pdf
(5): Grünbuch: Partizipation im digitalen Zeitalter
https://oeffentlicherdienst.gv.at/wp-content/uploads/2023/02/201103_Partizipation_Gruenbuch_A4_BF.pdf
(6): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf",90.0,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0, ""i don't know"": 0.0}","{'yes': 20, 'no': 0, ""i don't know"": 0}"
Austria,I12,Impact,"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",yes,20.0,"Yes, there is data available on the impact created by open data on governmental challenges in Austria, although the quantification is somewhat limited. 1. The legal framework and strategy documents acknowledge significant benefits such as improved interoperability of administrative data, enhanced collaboration within and across government entities, and the potential for new analytical insights that support better decision-making and transparency. These documents also highlight the positive socio-economic impacts, including strengthened democracy and increased public trust, enabled by increased transparency through open data. 2. While precise quantification of open data's value remains challenging, official sources such as the RIS Dokument provide narrative impact assessments and qualitative evidence on efficiency gains, improved effectiveness, and transparency enhancements for both internal administrative users and external stakeholders. 3. The Cooperation OGD Austria initiative and the Digital Austria platform reinforce open government data principles and the promotion of data reuse, which foster new products, services, and innovative governance approaches. This structured approach indicates a systematic monitoring of open data reuse impacts. For more details, see the RIS Dokument at https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html as well as the policy explanations on Digital Austria: https://www.digitalaustria.gv.at/verwaltung/egovernment/open-government-data.html.

## Sources
(1): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(2): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(3): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(4): Open Government Data - Digital Austria
https://www.digitalaustria.gv.at/verwaltung/egovernment/open-government-data.html",90.0,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0, ""i don't know"": 0.0}","{'yes': 20, 'no': 0, ""i don't know"": 0}"
Austria,I17,Impact,"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.",yes,20.0,"Yes, Austria has documented evidence of the social impact created by open data reuse, particularly highlighted through systematic examples and impact-related reporting. 1. Methodology and Monitoring: The Austrian ""Datenstrategie für Österreich"" (Data Strategy for Austria) outlines Public Value Assessments aimed at illustrating the benefits of data reuse for society and the public in concrete cases. This indicates an official approach to evaluating the broader effects of open data on public value, participation, and transparency. 2. Concrete Impact Evidence: The 'Leitfaden für offene Daten' (Guide for Open Data) explicitly cites the impact of open data during the COVID-19 pandemic, where freely available government data enabled the development of over 85 separate applications and visualizations addressing a critical public health challenge. This is a clear, documented example of open data contributing to healthcare and public awareness, with a tangible measurable output in terms of reuse and societal benefit. 3. Additional Insights: The RIS Dokument further highlights that open data enhances collaboration within public administration and promotes transparency, which indirectly fosters trust and democratic participation, important social dimensions related to inequality and inclusion. These sources collectively show that Austria not only supports open data policies but also monitors and documents the impacts on social challenges like healthcare (COVID-19), transparency, and public engagement, with evidence from government strategy documents and published reports. Relevant URLs: - Data Strategy for Austria: https://www.digitalaustria.gv.at/dam/jcr:c10856b0-bb4f-4240-8c75-776cab4be71a/Datenstrategie_barrierefrei_final-02102024.pdf - Leitfaden für offene Daten: https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf - RIS Dokument: https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html

## Sources
(1): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(2): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(3): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(4): Untitled source
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(5): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(6): Datenstrategie für Österreich
https://www.digitalaustria.gv.at/dam/jcr:c10856b0-bb4f-4240-8c75-776cab4be71a/Datenstrategie_barrierefrei_final-02102024.pdf",90.0,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0, ""i don't know"": 0.0}","{'yes': 20, 'no': 0, ""i don't know"": 0}"
Austria,I2,Impact,"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.",yes,20.0,"Yes, Austria has processes in place to monitor the reuse of its open data. The guidelines outlined in the official ""Ein Leitfaden für offene Daten"" document specify a structured approach to internal data monitoring. This involves maintaining and continually updating a detailed data catalogue based on stakeholder interests and data requests, including those arising under the Information Reuse Act (Informationsweiterverwendungsgesetz). The process includes setting and reviewing licenses, data formats, and metadata for each dataset before publication on data portals. Evaluation criteria for internal data monitoring help assess the impact and reuse of the data. Although no specific dashboard or quantitative reuse metrics are cited, the existence of these ongoing evaluation and updating mechanisms, stakeholder surveys, and event feedback form a formal methodology to monitor and understand open data usage. The document supporting this is available at https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf.

## Sources
(1): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(2): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(3): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(4): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba",0.9,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0, ""i don't know"": 0.0}","{'yes': 20, 'no': 0, ""i don't know"": 0}"
Austria,I27,Impact,"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.",yes,20.0,"Yes, Austria provides evidence of the economic impact of open data reuse through research studies and policy analysis. 1. An empirical master's thesis focused on Open Government Data (OGD) business models predominantly used in Austria highlights the commercial utilization of open data and the revenue generation in this field. This work presents concrete research on economic activities resulting from open data reuse within Austria, signaling active economic engagement and innovation around OGD (https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf). 2. Official government documents and policy reports mention positive economic effects from open data, including increased innovation capacity, new business models, and higher state tax revenues from commercial applications built on open data. While precise quantification is limited, these official sources affirm improved productivity and economic benefits linked to open data reusability (https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf). 3. The legal framework established through the Information Reuse Act 2022 and alignment with the EU Open Data Directive ensures public sector data is accessible for commercial reuse, fostering an enabling environment for economic growth, innovation, and new product development using open data (https://www.usp.gv.at/themen/betrieb-und-umwelt/laufender-betrieb/weitere-informationen-laufender-betrieb/informationsweiterverwendung.html). Together, these sources provide documented, research-based, and policy-supported evidence of quantifiable and broader economic impacts of open data reuse in Austria.

## Sources
(1): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(2): Zwischenbericht zur Umsetzung der Open Innovation ...
https://www.bmimi.gv.at/dam/jcr:92c587a4-ab26-4af8-a3cf-63fac265301a/oi_strategie_zwischenbericht_barrierefrei.pdf
(3): Zwischenbericht zur Umsetzung der Open Innovation Strategie für Österreich
https://www.bmimi.gv.at/dam/jcr:92c587a4-ab26-4af8-a3cf-63fac265301a/oi_strategie_zwischenbericht_barrierefrei.pdf
(4): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(5): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(6): Weiterverwendung von Daten und Dokumenten
https://www.usp.gv.at/themen/betrieb-und-umwelt/laufender-betrieb/weitere-informationen-laufender-betrieb/informationsweiterverwendung.html",90.0,sufficient,prepared_main_pipeline,"{'yes': 20.0, 'no': 0.0, ""i don't know"": 0.0}","{'yes': 20, 'no': 0, ""i don't know"": 0}"
Austria,I9,Impact,"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.",yes,40.0,"Yes, public bodies in Austria have actively performed activities in the past year aimed at better understanding reusers' needs to stimulate the reuse of open data. The ""Leitfaden für offene Daten"" (Open Data Guide) explicitly highlights the use of surveys and events as methods to learn about stakeholder interests. This approach helps public bodies to create comprehensive data catalogs reflecting the prioritized needs of various target groups and stakeholders, including those from politics and specialized departments. These activities also include responding to data requests under the Information Reuse Act, which reduces administrative effort and integrates publication obligations from studies and other mandatory reporting into the data catalogs. By continuously updating and improving these data catalogs and metadata, the government ensures that datasets remain relevant and accessible, thus fostering increased reuse. This systematic engagement through consultations, events, and stakeholder interaction demonstrates a structured methodology to monitor demand and support reuse, contributing to the policy's objective of stimulating open data utilization in Austria.

## Sources
(1): Untitled source
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(2): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(3): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(4): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(5): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba",0.95,sufficient,prepared_main_pipeline,"{'yes': 40.0, 'no': 0.0, ""i don't know"": 0.0}","{'yes': 40, 'no': 0, ""i don't know"": 0}"
Austria,P1,Policy,"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.",yes,40.0,"Yes, Austria has a national open data policy framework which includes national legislation for the transposition of the EU Open Data Directive (Directive (EU) 2019/1024). This is implemented primarily through the Informationsweiterverwendungsgesetz 2022 (IWG 2022), which regulates the re-use of public sector data on the federal level. The IWG mandates public bodies to enable the reuse of data and documents they hold for both commercial and non-commercial purposes, aligning with the Open Data Directive's goals. It also defines thematic categories of high-value datasets that must be made openly available in all EU member states. 1. Legal Basis and Transposition: Austria has transposed the EU Open Data Directive through the IWG 2022, providing a national legal framework ensuring reuse of public sector information. There is also reference to further legal provisions at the federal and regional level. 2. Policy and Operational Framework: Austria’s national open data platform, data.gv.at, serves as the main portal for accessing public sector open data, supporting the policy implementation. The government also provides a strategy and guidelines (""Ein Leitfaden für offene Daten"") that outline steps for open data publication in accordance with evolving EU regulations. 3. Official Documentation: The policy document ""Ein Leitfaden für offene Daten"" explains how Austrian open data practices align with EU directives, including the Open Data and PSI Directive (EU 2019/1024). Legal references can also be found in public information pages discussing the IWG and relevant regional statutes. The main authoritative URL documenting this is https://www.usp.gv.at/themen/betrieb-und-umwelt/laufender-betrieb/weitere-informationen-laufender-betrieb/informationsweiterverwendung.html which clarifies the legislative implementation of the Open Data Directive in Austria. Therefore, Austria has an explicit national open data policy supported by legislation fulfilling the EU Open Data Directive requirements.

## Sources
(1): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(2): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(3): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf
(4): RIS - NÖ Informationsgesetz 2025 - Landesrecht konsolidiert Niederösterreich, Fassung vom 10.04.2026
https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=LrNO&Gesetzesnummer=20001464
(5): Weiterverwendung von Daten und Dokumenten
https://www.usp.gv.at/themen/betrieb-und-umwelt/laufender-betrieb/weitere-informationen-laufender-betrieb/informationsweiterverwendung.html",95.0,sufficient,prepared_main_pipeline,"{'yes': 40.0, 'no': 0.0, 'other': 40.0}","{'yes': 40, 'no': 0, 'other': 40}"
Austria,P13,Policy,"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model",yes,40.0,"Yes, Austria has established governance structures that enable the participation and inclusion of various open data stakeholders. 1. Legal and Strategic Basis: The governance framework for Open Government Data (OGD) in Austria is founded on clear legal, technical, and organizational requirements as described in official guideline documents such as ""Rahmenbedingungen für Open Government Data Plattformen"". These emphasize transparency and stakeholder participation involving politics, administration, citizens, and the economy. 2. Governance and Operating Model: The governance approach incorporates a cooperative structure known as Cooperation OGD Austria, which includes working groups such as the BLSG Fachgruppe data.gv.at and the BLSG AG-II. This multi-stakeholder cooperation facilitates coordinated management and open data platform operation, ensuring a comprehensive, participatory data ecosystem. 3. Coordination and Participation Mechanisms: Documents on participatory processes in the digital age (“Grünbuch: Partizipation im digitalen Zeitalter”) highlight Austria’s commitment to a transparent, structured, and politically supported participation architecture. This architecture is based on well-established policy cycle models ensuring ongoing monitoring, evaluation, and stakeholder integration throughout policy and data governance processes. 4. Integration Across Levels: Open Government Data governance explicitly includes coordination between multiple administrative levels and sectors (public administration, political actors, civil society, and the private sector), promoting collaboration, data quality improvements, and enhanced trust in public institutions. Together these components demonstrate a robust governance structure that actively involves various stakeholders in Austria's open data policy implementation and oversight.

## Sources
(1): Rahmenbedingungen für Open
https://ref.gv.at/documents/27693428/27741921/Rahmenbedingungen_f%25C3%25BCr_Open_Government_Data_Portale_1.3_fin.pdf/51921bf6-cc0a-49c0-bc96-20fc23dcdfba
(2): Grünbuch: Partizipation im digitalen Zeitalter
https://oeffentlicherdienst.gv.at/wp-content/uploads/2023/02/201103_Partizipation_Gruenbuch_A4_BF.pdf
(3): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(4): Geschäftsmodelle in Open Government Data
https://www.data.gv.at/wp-content/uploads/2016/07/Masterarbeit_Georg_Stuhlberger.pdf",0.9,sufficient,prepared_main_pipeline,"{'yes': 40.0, 'no': 0.0}","{'yes': 40, 'no': 0}"
Austria,P16,Policy,"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.",few public bodies,5.0,"Partially, open data initiatives among local and regional public bodies in Austria are present but limited to a relatively small number rather than widespread across the majority or all. 1. Legal and strategic framework: The Bundesgesetzblatt (Federal Law Gazette) mandates the appointment of Open Data officers primarily in federal ministries, with shared officers possible among related entities and public enterprises, indicating a stronger focus on national-level implementation rather than explicit local/regional requirements. 2. Implementation evidence: Documentation such as ""Ein Leitfaden für offene Daten"" and the Digital Austria portal describe principles and technical frameworks for open data, emphasizing transparency and machine-readable formats, but do not provide specific evidence that these are extensively adopted at the regional or municipal level. 3. Limited explicit local/regional engagement: There is recognition of the value of open data for improving collaboration within administrative bodies and with society, including through crowdsourcing, but direct evidence of broad-based local/regional open data initiatives or coordinated municipality-driven efforts is not apparent in the reviewed sources. Thus, while some local or regional bodies may have adopted open data measures, the scope appears limited to a few rather than covering half, a majority, or all. This assessment aligns with the lack of clear, substantive evidence of broad uptake or mandatory open data roles at subnational levels. Consequently, “few public bodies” best reflects the current extent of local/regional engagement in open data initiatives in Austria.

## Sources
(1): BUNDESGESETZBLATT
https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2022_I_116/BGBLA_2022_I_116.pdf
(2): RIS Dokument
https://www.ris.bka.gv.at/Dokumente/Gemeinderecht/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001/GEMRE_ST_60101_Pr%C3%A4s_008364_2012_0001.html
(3): Open Government Data - Digital Austria
https://www.digitalaustria.gv.at/verwaltung/egovernment/open-government-data.html
(4): Ein Leitfaden für offene Daten
https://www.data.gv.at/wp-content/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf
(5): Ein Leitfaden für offene Daten
https://www.data.gv.at/static/uploads/2023/07/Open_Data_Leitfaden_20230622.pdf",4.0,partial,prepared_main_pipeline,"{'all public bodies': 20.0, 'the majority of public bodies': 15.0, 'approximately half of the public bodies': 10.0, 'few public bodies': 5.0, 'none of the public bodies': 0.0, 'not applicable': 20.0}","{'all public bodies': 20, 'the majority of public bodies': 15, 'approximately half of the public bodies': 10, 'few public bodies': 5, 'none of the public bodies': 0, 'not applicable': 20}"
